Gene1	Gene2	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000082929	XLOC_031857_ops	0.641337386	0.833333333
ENSG00000082929	XLOC_031861_ops	0.449848024	0.666666667
ENSG00000082929	XLOC_031863_ops	0.411214953	0.391304348
ENSG00000082929	XLOC_031865_ops	0.342679128	0.391304348
ENSG00000082929	XLOC_031867_ops	0.224299065	0.304347826
ENSG00000083622	XLOC_044220_ops	0.144270404	0.571428571
ENSG00000083622	XLOC_044221_ops	0.250347705	0.583333333
ENSG00000083622	XLOC_044222_ops	0.080300404	0.5
ENSG00000083622	XLOC_044225_ops	0.257053292	0.454545455
ENSG00000083622	XLOC_044226_ops	0.24137931	0.416666667
ENSG00000083622	XLOC_044229_ops	0.228840125	0.363636364
ENSG00000083622	XLOC_044236_ops	0.112852665	0.3
ENSG00000093100	XLOC_041762_ops	0.295711061	0.307692308
ENSG00000093100	XLOC_043930_ops	0.23476298	0.346153846
ENSG00000093100	XLOC_043931_ops	0.268623025	0.384615385
ENSG00000093100	XLOC_043932_ops	0.320855615	0.458333333
ENSG00000093100	XLOC_043933_ops	0.261111111	0.416666667
ENSG00000115934	XLOC_041597_ops	0.513784461	0.631578947
ENSG00000115934	XLOC_041598_ops	0.481203008	0.611111111
ENSG00000116652	XLOC_014085_ops	0.365217391	0.416666667
ENSG00000116652	XLOC_014086_ops	0.356521739	0.416666667
ENSG00000116652	XLOC_014092_ops	0.75	0.692307692
ENSG00000116652	XLOC_014093_ops	0.703431373	0.692307692
ENSG00000116652	XLOC_014095_ops	0.686842105	0.615384615
ENSG00000116883	XLOC_027483_ops	0.386538462	0.538461538
ENSG00000116883	XLOC_027488_ops	0.525	0.791666667
ENSG00000116883	XLOC_027489_ops	0.530769231	0.875
ENSG00000116883	XLOC_027493_ops	0.506849315	0.53125
ENSG00000116883	XLOC_027494_ops	0.487279843	0.5
ENSG00000116883	XLOC_027495_ops	0.37964775	0.5
ENSG00000117242	XLOC_026659_ops	0.428893905	0.361111111
ENSG00000117242	XLOC_026660_ops	0.489841986	0.416666667
ENSG00000117242	XLOC_026662_ops	0.464052288	0.307692308
ENSG00000117242	XLOC_026664_ops	0.563636364	0.607142857
ENSG00000117242	XLOC_026666_ops	0.545454545	0.642857143
ENSG00000117242	XLOC_026667_ops	0.548051948	0.607142857
ENSG00000117242	XLOC_026668_ops	0.548051948	0.607142857
ENSG00000117242	XLOC_026671_ops	0.331154684	0.487179487
ENSG00000117242	XLOC_026673_ops	0.379084967	0.564102564
ENSG00000117242	XLOC_029761_ops	0.220043573	0.128205128
ENSG00000117242	XLOC_029764_ops	0.477317554	0.4
ENSG00000120664	XLOC_026313_ops	0.347826087	0.294117647
ENSG00000120664	XLOC_026322_ops	0.596810934	0.625
ENSG00000120664	XLOC_026323_ops	0.569476082	0.625
ENSG00000122043	XLOC_026267_ops	0.366666667	0.3
ENSG00000122043	XLOC_026269_ops	0.416666667	0.3
ENSG00000122043	XLOC_026270_ops	0.457142857	0.4
ENSG00000122043	XLOC_026272_ops	0.55	0.5
ENSG00000122043	XLOC_026274_ops	0.426190476	0.7
ENSG00000122043	XLOC_026275_ops	0.380952381	0.5
ENSG00000122043	XLOC_026277_ops	0.458745875	0.428571429
ENSG00000122043	XLOC_026281_ops	0.389067524	0.428571429
ENSG00000122043	XLOC_026283_ops	0.344051447	0.357142857
ENSG00000122043	XLOC_026284_ops	0.330065359	0.357142857
ENSG00000122548	XLOC_042861_ops	0.547861507	0.789473684
ENSG00000122548	XLOC_042862_ops	0.611553785	0.842105263
ENSG00000122548	XLOC_042863_ops	0.612774451	0.842105263
ENSG00000122548	XLOC_042866_ops	0.490125673	0.714285714
ENSG00000122548	XLOC_042867_ops	0.466666667	0.7
ENSG00000124835	XLOC_013765_ops	0.19212963	0.266666667
ENSG00000124835	XLOC_013767_ops	0.231981982	0.266666667
ENSG00000124835	XLOC_013770_ops	0.176392573	0.272727273
ENSG00000124835	XLOC_017658_ops	0.252873563	0.214285714
ENSG00000124835	XLOC_017659_ops	0.206896552	0.285714286
ENSG00000124915	XLOC_034164_ops	0.326460481	0.428571429
ENSG00000124915	XLOC_034165_ops	0.336769759	0.452380952
ENSG00000124915	XLOC_034168_ops	0.340206186	0.452380952
ENSG00000124915	XLOC_034170_ops	0.443298969	0.523809524
ENSG00000124915	XLOC_034171_ops	0.359404097	0.455882353
ENSG00000124915	XLOC_034172_ops	0.382084095	0.544117647
ENSG00000124915	XLOC_034175_ops	0.306976744	0.573529412
ENSG00000124915	XLOC_034176_ops	0.288261516	0.573529412
ENSG00000124915	XLOC_034178_ops	0.256232687	0.529411765
ENSG00000124915	XLOC_034179_ops	0.25245098	0.333333333
ENSG00000125514	XLOC_003207_ops	0.122103387	0.267857143
ENSG00000125514	XLOC_003208_ops	0.13368984	0.25
ENSG00000125514	XLOC_003209_ops	0.136363636	0.267857143
ENSG00000125514	XLOC_003210_ops	0.139037433	0.267857143
ENSG00000125514	XLOC_003212_ops	0.133122029	0.172413793
ENSG00000125514	XLOC_003213_ops	0.12836767	0.172413793
ENSG00000125514	XLOC_003214_ops	0.135048232	0.172413793
ENSG00000125899	XLOC_008968_ops	0.61971831	0.333333333
ENSG00000125899	XLOC_008970_ops	0.622073579	0.428571429
ENSG00000125899	XLOC_008975_ops	0.324414716	0.428571429
ENSG00000128254	XLOC_024389_ops	0.168122271	0.16
ENSG00000131484	XLOC_011491_ops	0.486046512	0.5
ENSG00000131484	XLOC_011493_ops	0.490697674	0.52173913
ENSG00000131484	XLOC_011495_ops	0.481395349	0.538461538
ENSG00000131484	XLOC_011496_ops	0.488372093	0.512820513
ENSG00000131484	XLOC_011498_ops	0.453488372	0.461538462
ENSG00000131484	XLOC_011499_ops	0.476744186	0.461538462
ENSG00000131484	XLOC_011500_ops	0.18967587	0.205882353
ENSG00000131484	XLOC_015410_ops	0.158139535	0.108695652
ENSG00000131484	XLOC_015411_ops	0.158139535	0.108695652
ENSG00000131484	XLOC_015412_ops	0.151162791	0.128205128
ENSG00000131484	XLOC_015414_ops	0.127906977	0.128205128
ENSG00000131484	XLOC_015415_ops	0.202325581	0.205128205
ENSG00000131484	XLOC_015416_ops	0.2	0.205128205
ENSG00000132832	XLOC_008269_ops	0.330645161	0.321428571
ENSG00000132832	XLOC_008272_ops	0.428961749	0.392857143
ENSG00000132832	XLOC_008275_ops	0.576601671	0.6
ENSG00000132832	XLOC_008276_ops	0.505882353	0.533333333
ENSG00000136275	XLOC_037855_ops	0.526315789	0.555555556
ENSG00000136315	XLOC_001129_ops	0.251931994	0.578947368
ENSG00000136315	XLOC_001131_ops	0.255023184	0.578947368
ENSG00000136315	XLOC_001136_ops	0.268933539	0.578947368
ENSG00000136315	XLOC_001137_ops	0.268933539	0.543859649
ENSG00000136315	XLOC_001138_ops	0.253477589	0.50877193
ENSG00000136315	XLOC_001140_ops	0.228628231	0.388888889
ENSG00000136315	XLOC_001141_ops	0.204771372	0.375
ENSG00000136315	XLOC_001142_ops	0.190854871	0.305555556
ENSG00000136315	XLOC_006036_ops	0.095826893	0.368421053
ENSG00000136315	XLOC_006038_ops	0.086553323	0.333333333
ENSG00000136315	XLOC_006079_ops	0.267504488	0.319148936
ENSG00000136315	XLOC_006080_ops	0.362657092	0.333333333
ENSG00000136315	XLOC_006081_ops	0.473967684	0.303571429
ENSG00000136315	XLOC_006082_ops	0.411131059	0.37254902
ENSG00000137808	XLOC_001032_ops	0.416861827	0.642857143
ENSG00000137808	XLOC_001033_ops	0.536299766	0.8
ENSG00000146521	XLOC_016865_ops	0.311111111	0.666666667
ENSG00000146521	XLOC_016868_ops	0.341414141	0.533333333
ENSG00000146521	XLOC_016870_ops	0.349494949	0.4
ENSG00000146521	XLOC_016872_ops	0.309090909	0.333333333
ENSG00000146521	XLOC_016873_ops	0.262626263	0.266666667
ENSG00000146666	XLOC_037855_ops	0.482315113	0.5
ENSG00000149443	XLOC_003934_ops	0.555012225	0.538461538
ENSG00000149443	XLOC_003935_ops	0.5599022	0.615384615
ENSG00000149443	XLOC_003939_ops	0.520782396	0.692307692
ENSG00000152931	XLOC_017888_ops	0.270152505	0.375
ENSG00000152931	XLOC_017891_ops	0.520697168	0.571428571
ENSG00000152931	XLOC_017893_ops	0.508928571	0.375
ENSG00000152931	XLOC_017898_ops	0.273809524	0.375
ENSG00000152931	XLOC_017899_ops	0.261904762	0.375
ENSG00000153363	XLOC_010784_ops	0.588555858	0.533333333
ENSG00000153363	XLOC_010785_ops	0.607629428	0.6
ENSG00000153363	XLOC_010788_ops	0.555858311	0.6
ENSG00000153363	XLOC_010790_ops	0.419618529	0.6
ENSG00000157306	XLOC_001191_ops	0.444649446	0.597560976
ENSG00000157306	XLOC_001192_ops	0.463551402	0.62195122
ENSG00000157306	XLOC_001193_ops	0.570212766	0.695121951
ENSG00000157306	XLOC_001194_ops	0.458181818	0.695121951
ENSG00000157306	XLOC_001196_ops	0.464864865	0.707317073
ENSG00000157306	XLOC_001198_ops	0.558762887	0.756097561
ENSG00000157306	XLOC_001199_ops	0.56920078	0.756097561
ENSG00000157306	XLOC_001200_ops	0.580270793	0.780487805
ENSG00000157306	XLOC_001201_ops	0.612326044	0.792682927
ENSG00000157306	XLOC_001202_ops	0.606299213	0.792682927
ENSG00000157306	XLOC_001203_ops	0.480851064	0.670731707
ENSG00000157306	XLOC_001207_ops	0.34893617	0.5
ENSG00000157306	XLOC_001208_ops	0.333333333	0.464285714
ENSG00000157306	XLOC_001209_ops	0.329501916	0.44047619
ENSG00000157306	XLOC_001210_ops	0.302681992	0.392857143
ENSG00000157306	XLOC_001211_ops	0.300766284	0.392857143
ENSG00000162888	XLOC_014644_ops	0.408775982	0.513513514
ENSG00000162888	XLOC_014645_ops	0.35340729	0.485714286
ENSG00000162888	XLOC_014647_ops	0.409539474	0.628571429
ENSG00000162888	XLOC_014648_ops	0.521060842	0.742857143
ENSG00000162888	XLOC_014649_ops	0.502369668	0.742857143
ENSG00000162888	XLOC_014650_ops	0.483146067	0.628571429
ENSG00000162947	XLOC_028511_ops	0.586864407	0.666666667
ENSG00000162947	XLOC_028513_ops	0.633474576	0.666666667
ENSG00000163009	XLOC_008469_ops	0.286057692	0.45
ENSG00000163009	XLOC_008476_ops	0.204326923	0.3
ENSG00000163364	XLOC_028718_ops	0.579681275	0.631578947
ENSG00000163364	XLOC_028724_ops	0.457399103	0.130434783
ENSG00000163364	XLOC_028726_ops	0.405829596	0.217391304
ENSG00000163364	XLOC_028728_ops	0.396860987	0.217391304
ENSG00000163597	XLOC_015451_ops	0.187845304	0.265306122
ENSG00000163597	XLOC_015452_ops	0.195211786	0.265306122
ENSG00000163597	XLOC_015455_ops	0.211786372	0.285714286
ENSG00000163597	XLOC_015456_ops	0.224677716	0.326530612
ENSG00000163597	XLOC_015457_ops	0.239410681	0.346938776
ENSG00000163597	XLOC_015459_ops	0.391489362	0.474576271
ENSG00000163597	XLOC_015460_ops	0.387234043	0.457627119
ENSG00000163597	XLOC_015461_ops	0.387234043	0.457627119
ENSG00000163597	XLOC_015464_ops	0.408510638	0.474576271
ENSG00000163597	XLOC_015465_ops	0.442553191	0.508474576
ENSG00000163915	XLOC_013654_ops	0.123505976	0.259259259
ENSG00000163915	XLOC_013656_ops	0.175	0.333333333
ENSG00000163915	XLOC_013658_ops	0.153846154	0.222222222
ENSG00000163915	XLOC_013839_ops	0.297752809	0.35
ENSG00000164385	XLOC_022888_ops	0.239709443	0.230769231
ENSG00000164621	XLOC_006771_ops	0.244604317	0.285714286
ENSG00000164621	XLOC_006773_ops	0.258992806	0.357142857
ENSG00000165511	XLOC_000123_ops	0.094505495	0.129032258
ENSG00000165511	XLOC_000154_ops	0.164619165	0.108108108
ENSG00000165511	XLOC_000157_ops	0.213759214	0.142857143
ENSG00000165511	XLOC_000158_ops	0.218673219	0.125
ENSG00000165511	XLOC_000160_ops	0.109919571	0.142857143
ENSG00000166917	XLOC_005052_ops	0.188235294	0.37704918
ENSG00000166917	XLOC_005055_ops	0.185468451	0.409836066
ENSG00000167046	XLOC_003221_ops	0.117431193	0.307692308
ENSG00000167046	XLOC_003223_ops	0.101834862	0.307692308
ENSG00000167046	XLOC_003225_ops	0.093577982	0.333333333
ENSG00000167046	XLOC_003226_ops	0.078899083	0.307692308
ENSG00000167117	XLOC_011186_ops	0.23880597	0.257142857
ENSG00000167117	XLOC_011190_ops	0.246268657	0.228571429
ENSG00000167355	XLOC_026591_ops	0.087759815	0.310810811
ENSG00000167459	XLOC_020488_ops	0.375586854	0.5
ENSG00000167459	XLOC_020489_ops	0.352112676	0.522727273
ENSG00000167912	XLOC_018636_ops	0.496503497	0.666666667
ENSG00000167912	XLOC_022048_ops	0.55733945	0.5
ENSG00000167912	XLOC_022051_ops	0.440559441	0.571428571
ENSG00000167912	XLOC_022052_ops	0.328671329	0.571428571
ENSG00000167912	XLOC_022053_ops	0.237762238	0.714285714
ENSG00000167912	XLOC_022054_ops	0.213286713	0.714285714
ENSG00000168367	XLOC_009412_ops	0.246428571	0.307692308
ENSG00000168367	XLOC_009418_ops	0.392857143	0.615384615
ENSG00000168367	XLOC_009420_ops	0.207349081	0.136363636
ENSG00000168367	XLOC_009421_ops	0.223097113	0.090909091
ENSG00000168367	XLOC_009423_ops	0.228346457	0.363636364
ENSG00000168367	XLOC_009424_ops	0.217847769	0.363636364
ENSG00000168746	XLOC_008269_ops	0.428571429	0.5
ENSG00000168746	XLOC_008272_ops	0.510810811	0.55
ENSG00000168746	XLOC_008275_ops	0.504109589	0.575
ENSG00000168746	XLOC_008276_ops	0.387978142	0.392857143
ENSG00000170846	XLOC_031863_ops	0.318051576	0.333333333
ENSG00000170846	XLOC_031865_ops	0.346889952	0.631578947
ENSG00000170846	XLOC_031867_ops	0.361244019	0.578947368
ENSG00000170846	XLOC_031870_ops	0.313397129	0.368421053
ENSG00000170846	XLOC_031871_ops	0.279904306	0.315789474
ENSG00000170846	XLOC_031875_ops	0.204379562	0.269230769
ENSG00000170919	XLOC_038906_ops	0.38253012	0.368421053
ENSG00000170919	XLOC_038907_ops	0.403614458	0.421052632
ENSG00000170919	XLOC_038908_ops	0.606217617	0.647058824
ENSG00000170919	XLOC_038913_ops	0.523316062	0.55
ENSG00000170983	XLOC_008610_ops	0.106060606	0.25
ENSG00000171671	XLOC_034230_ops	0.179389313	0.233333333
ENSG00000171671	XLOC_034231_ops	0.198473282	0.233333333
ENSG00000171671	XLOC_034232_ops	0.244274809	0.333333333
ENSG00000171671	XLOC_034233_ops	0.259541985	0.366666667
ENSG00000171671	XLOC_034234_ops	0.27480916	0.366666667
ENSG00000171671	XLOC_034243_ops	0.083969466	0.133333333
ENSG00000171889	XLOC_036353_ops	0.566539924	0.19047619
ENSG00000171889	XLOC_036356_ops	0.630379747	0.416666667
ENSG00000171889	XLOC_036359_ops	0.463291139	0.416666667
ENSG00000171889	XLOC_036361_ops	0.374683544	0.375
ENSG00000172250	XLOC_043204_ops	0.32118451	0.302325581
ENSG00000172250	XLOC_043205_ops	0.32118451	0.302325581
ENSG00000172250	XLOC_043206_ops	0.32118451	0.302325581
ENSG00000172250	XLOC_043208_ops	0.325740319	0.302325581
ENSG00000172250	XLOC_043209_ops	0.362186788	0.325581395
ENSG00000172250	XLOC_043215_ops	0.332574032	0.418604651
ENSG00000172250	XLOC_043216_ops	0.132939439	0.342105263
ENSG00000172250	XLOC_043217_ops	0.130699088	0.289473684
ENSG00000172965	XLOC_008849_ops	0.214446953	0.131578947
ENSG00000173811	XLOC_037422_ops	0.127835052	0.310344828
ENSG00000173811	XLOC_037423_ops	0.122905028	0.346153846
ENSG00000173811	XLOC_037424_ops	0.128301887	0.37037037
ENSG00000173811	XLOC_037425_ops	0.131238447	0.407407407
ENSG00000173811	XLOC_037426_ops	0.141129032	0.379310345
ENSG00000173811	XLOC_044826_ops	0.220253165	0.133333333
ENSG00000173862	XLOC_037507_ops	0.409638554	0.5
ENSG00000173862	XLOC_037509_ops	0.516014235	0.4
ENSG00000173862	XLOC_037510_ops	0.629482072	0.545454545
ENSG00000173862	XLOC_037511_ops	0.459854015	0.307692308
ENSG00000173862	XLOC_037512_ops	0.395833333	0.307692308
ENSG00000173862	XLOC_037513_ops	0.25087108	0.266666667
ENSG00000173867	XLOC_000836_ops	0.440449438	0.583333333
ENSG00000173867	XLOC_000837_ops	0.512359551	0.695652174
ENSG00000173867	XLOC_000843_ops	0.731111111	0.857142857
ENSG00000173867	XLOC_000844_ops	0.746666667	0.846153846
ENSG00000173867	XLOC_000848_ops	0.62	0.692307692
ENSG00000173867	XLOC_000849_ops	0.458015267	0.642857143
ENSG00000174171	XLOC_001365_ops	0.53358209	0.611111111
ENSG00000174171	XLOC_001368_ops	0.576492537	0.638888889
ENSG00000174171	XLOC_001369_ops	0.550373134	0.611111111
ENSG00000174171	XLOC_001370_ops	0.440298507	0.444444444
ENSG00000174171	XLOC_001372_ops	0.440298507	0.444444444
ENSG00000174365	XLOC_002605_ops	0.331695332	0.384615385
ENSG00000174365	XLOC_007461_ops	0.294840295	0.269230769
ENSG00000174365	XLOC_007462_ops	0.316953317	0.307692308
ENSG00000174365	XLOC_007463_ops	0.306701031	0.277777778
ENSG00000174365	XLOC_007465_ops	0.347938144	0.333333333
ENSG00000174365	XLOC_007467_ops	0.43556701	0.444444444
ENSG00000174365	XLOC_007473_ops	0.574742268	0.666666667
ENSG00000174365	XLOC_007478_ops	0.335051546	0.473684211
ENSG00000174365	XLOC_007480_ops	0.399484536	0.5
ENSG00000174365	XLOC_007481_ops	0.347938144	0.444444444
ENSG00000174403	XLOC_003221_ops	0.124768946	0.333333333
ENSG00000174403	XLOC_003223_ops	0.117375231	0.333333333
ENSG00000174403	XLOC_003225_ops	0.109057301	0.361111111
ENSG00000174403	XLOC_003226_ops	0.094269871	0.333333333
ENSG00000174407	XLOC_003229_ops	0.272727273	0.46875
ENSG00000174407	XLOC_008126_ops	0.128228782	0.351351351
ENSG00000174407	XLOC_008129_ops	0.123616236	0.324324324
ENSG00000174407	XLOC_008133_ops	0.152727273	0.28125
ENSG00000174407	XLOC_008134_ops	0.18	0.375
ENSG00000174407	XLOC_008135_ops	0.18	0.375
ENSG00000174407	XLOC_008137_ops	0.201818182	0.40625
ENSG00000174407	XLOC_008139_ops	0.221818182	0.40625
ENSG00000174407	XLOC_008141_ops	0.258181818	0.28125
ENSG00000174407	XLOC_008142_ops	0.256363636	0.28125
ENSG00000174680	XLOC_024656_ops	0.188235294	0.272727273
ENSG00000174680	XLOC_024657_ops	0.1875	0.272727273
ENSG00000174680	XLOC_024660_ops	0.181132075	0.272727273
ENSG00000174680	XLOC_024661_ops	0.157051282	0.15
ENSG00000175147	XLOC_026918_ops	0.134831461	0.096774194
ENSG00000175147	XLOC_026919_ops	0.142322097	0.1
ENSG00000175147	XLOC_026924_ops	0.297752809	0.08
ENSG00000175147	XLOC_026925_ops	0.290262172	0.08
ENSG00000175147	XLOC_026926_ops	0.310861423	0.08
ENSG00000175147	XLOC_026927_ops	0.333333333	0.12
ENSG00000175147	XLOC_026928_ops	0.370786517	0.12
ENSG00000175147	XLOC_026929_ops	0.376404494	0.12
ENSG00000175147	XLOC_026931_ops	0.283950617	0.142857143
ENSG00000175147	XLOC_026932_ops	0.298765432	0.142857143
ENSG00000175147	XLOC_030030_ops	0.190265487	0.121212121
ENSG00000175147	XLOC_030036_ops	0.118518519	0.142857143
ENSG00000175147	XLOC_030041_ops	0.207865169	0.04
ENSG00000175604	XLOC_036759_ops	0.14619883	0.15
ENSG00000175604	XLOC_036760_ops	0.153729072	0.1
ENSG00000175604	XLOC_036762_ops	0.333333333	0.35
ENSG00000175604	XLOC_036765_ops	0.257961783	0.1
ENSG00000175611	XLOC_036249_ops	0.288732394	0.25
ENSG00000175728	XLOC_026155_ops	0.390438247	0.9
ENSG00000175728	XLOC_026158_ops	0.446215139	0.9
ENSG00000175728	XLOC_026163_ops	0.440239044	0.6
ENSG00000175728	XLOC_026164_ops	0.420318725	0.5
ENSG00000175746	XLOC_001324_ops	0.534988713	0.384615385
ENSG00000175772	XLOC_008844_ops	0.256147541	0.294117647
ENSG00000175772	XLOC_008845_ops	0.254509018	0.25
ENSG00000175772	XLOC_038482_ops	0.083484574	0.2
ENSG00000175772	XLOC_038483_ops	0.142605634	0.2
ENSG00000175773	XLOC_026150_ops	0.496551724	0.545454545
ENSG00000175773	XLOC_026153_ops	0.547126437	0.818181818
ENSG00000175773	XLOC_026155_ops	0.510344828	0.727272727
ENSG00000175773	XLOC_026158_ops	0.462068966	0.636363636
ENSG00000175967	XLOC_012618_ops	0.54396728	0.4
ENSG00000175967	XLOC_012619_ops	0.564417178	0.4
ENSG00000176075	XLOC_011211_ops	0.157692308	0.08
ENSG00000176236	XLOC_044036_ops	0.397993311	0.285714286
ENSG00000176236	XLOC_044039_ops	0.37398374	0.357142857
