human gene	chicken gene	human transcript	chicken transcript	motif-pattern similarity score	gap penalty score
ENSG00000279762	XLOC_035220_chc	ENST00000625127	TCONS_00172636_chc	5.091	28.146
ENSG00000279878	XLOC_022259_chc	ENST00000623008	TCONS_00093106_chc	5.136	30.981
ENSG00000231718	XLOC_027814_chc	ENST00000452199	TCONS_00123707_chc	4.763	119.228
ENSG00000261090	XLOC_032833_chc	ENST00000567395	TCONS_00155046_chc	8.837	27.928
ENSG00000263218	XLOC_035302_chc	ENST00000576215	TCONS_00170965_chc	5.312	34.704
ENSG00000280039	XLOC_032826_chc	ENST00000625159	TCONS_00155015_chc	9.387	25.03
ENSG00000275223	XLOC_036309_chc	ENST00000621597	TCONS_00178869_chc	4.096	35.92
ENSG00000230002	XLOC_037118_chc	ENST00000441587	TCONS_00185419_chc	6.715	22.049
ENSG00000253339	XLOC_010587_chc	ENST00000518355	TCONS_00039138_chc	3.415	20.445
ENSG00000263873	XLOC_037939_chc	ENST00000578216	TCONS_00189466_chc	5.874	24.204
ENSG00000239587	XLOC_006919_chc	ENST00000454183	TCONS_00020001_chc	5.491	22.454
ENSG00000256806	XLOC_035895_chc	ENST00000625754	TCONS_00176521_chc	7.409	22.578
ENSG00000273188	XLOC_004484_chc	ENST00000607943	TCONS_00012884_chc	4.169	35.235
ENSG00000250548	XLOC_023023_chc	ENST00000508827	TCONS_00095840_chc	6.314	68.508
ENSG00000254099	XLOC_032288_chc	ENST00000520882	TCONS_00151684_chc	4.371	36.936
ENSG00000255474	XLOC_001535_chc	ENST00000527518	TCONS_00005204_chc	3.704	8.851
ENSG00000215866	XLOC_038384_chc	ENST00000401018	TCONS_00192285_chc	4.924	105.371
ENSG00000249550	XLOC_034058_chc	ENST00000510694	TCONS_00162861_chc	6.094	21.548
ENSG00000234327	XLOC_035436_chc	ENST00000623522	TCONS_00172888_chc	8.375	29.845
ENSG00000262873	XLOC_035308_chc	ENST00000572036	TCONS_00172327_chc	4.442	37.663
ENSG00000268707	XLOC_034376_chc	ENST00000600965	TCONS_00165477_chc	3.945	63.689
ENSG00000265359	XLOC_039075_chc	ENST00000579136	TCONS_00196134_chc	3.32	13.329
ENSG00000233429	XLOC_009007_chc	ENST00000425358	TCONS_00034968_chc	4.554	37.32
ENSG00000226390	XLOC_036096_chc	ENST00000436263	TCONS_00177785_chc	4.945	46.925
ENSG00000272183	XLOC_037122_chc	ENST00000606287	TCONS_00184795_chc	13.422	162.996
ENSG00000165511	XLOC_024800_chc	ENST00000625168	TCONS_00106447_chc	5.927	18.655
ENSG00000230955	XLOC_037554_chc	ENST00000419993	TCONS_00188070_chc	3.669	61.422
ENSG00000240291	XLOC_008692_chc	ENST00000436485	TCONS_00034013_chc	6.846	53.352
ENSG00000248859	XLOC_032452_chc	ENST00000512115	TCONS_00152337_chc	9.32	106.789
ENSG00000279028	XLOC_031883_chc	ENST00000625092	TCONS_00150139_chc	5.946	65.624
ENSG00000225793	XLOC_017884_chc	ENST00000607799	TCONS_00066734_chc	4.01	80.151
ENSG00000274427	XLOC_033531_chc	ENST00000610631	TCONS_00160048_chc	3.716	22.616
ENSG00000261441	XLOC_030080_chc	ENST00000569473	TCONS_00138616_chc	5.24	110.273
ENSG00000223714	XLOC_006496_chc	ENST00000452501	TCONS_00018838_chc	4.226	25.234
ENSG00000280422	XLOC_031483_chc	ENST00000624646	TCONS_00147013_chc	12.716	30.742
ENSG00000255537	XLOC_037655_chc	ENST00000527818	TCONS_00189959_chc	9.588	45.512
ENSG00000256790	XLOC_005700_chc	ENST00000540533	TCONS_00016388_chc	6.16	37.806
ENSG00000268230	XLOC_046837_chc	ENST00000599109	TCONS_00222708_chc	8.624	40.69
ENSG00000229433	XLOC_028943_chc	ENST00000457449	TCONS_00131320_chc	6.686	88.736
ENSG00000278948	XLOC_005162_chc	ENST00000624344	TCONS_00027699_chc	3.888	17.073
ENSG00000250234	XLOC_041212_chc	ENST00000507566	TCONS_00203506_chc	4.85	17.868
ENSG00000279485	XLOC_016514_chc	ENST00000624325	TCONS_00062623_chc	4.981	53.92
ENSG00000221817	XLOC_025441_chc	ENST00000439792	TCONS_00108927_chc	5.55	59.311
ENSG00000261026	XLOC_037147_chc	ENST00000566457	TCONS_00184911_chc	6.463	59.798
ENSG00000225174	XLOC_017657_chc	ENST00000441184	TCONS_00066204_chc	9.336	45.399
ENSG00000253508	XLOC_008994_chc	ENST00000523331	TCONS_00034954_chc	4.937	53.357
ENSG00000283213	XLOC_033238_chc	ENST00000636266	TCONS_00157353_chc	6.321	15.984
ENSG00000281196	XLOC_033707_chc	ENST00000630357	TCONS_00160954_chc	5.159	37.019
