motif	RBP	length	site1(A)	site1(C)	site1(G)	site1(U)	site2(A)	site2(C)	site2(G)	site2(U)	site3(A)	site3(C)	site3(G)	site3(U)	site4(A)	site4(C)	site4(G)	site4(U)	site5(A)	site5(C)	site5(G)	site5(U)	site6(A)	site6(C)	site6(G)	site6(U)	site7(A)	site7(C)	site7(G)	site7(U)	site8(A)	site8(C)	site8(G)	site8(U)	site9(A)	site9(C)	site9(G)	site9(U)	site10(A)	site10(C)	site10(G)	site10(U)	site11(A)	site11(C)	site11(G)	site11(U)	site12(A)	site12(C)	site12(G)	site12(U)	site13(A)	site13(C)	site13(G)	site13(U)	site14(A)	site14(C)	site14(G)	site14(U)	site15(A)	site15(C)	site15(G)	site15(U)	site16(A)	site16(C)	site16(G)	site16(U)	site17(A)	site17(C)	site17(G)	site17(U)	site18(A)	site18(C)	site18(G)	site18(U)	site19(A)	site19(C)	site19(G)	site19(U)	site20(A)	site20(C)	site20(G)	site20(U)	site21(A)	site21(C)	site21(G)	site21(U)	site22(A)	site22(C)	site22(G)	site22(U)	site23(A)	site23(C)	site23(G)	site23(U)	site24(A)	site24(C)	site24(G)	site24(U)	site25(A)	site25(C)	site25(G)	site25(U)	site26(A)	site26(C)	site26(G)	site26(U)	site27(A)	site27(C)	site27(G)	site27(U)	site28(A)	site28(C)	site28(G)	site28(U)	site29(A)	site29(C)	site29(G)	site29(U)	site30(A)	site30(C)	site30(G)	site30(U)	site31(A)	site31(C)	site31(G)	site31(U)	site32(A)	site32(C)	site32(G)	site32(U)	site33(A)	site33(C)	site33(G)	site33(U)	site34(A)	site34(C)	site34(G)	site34(U)	site35(A)	site35(C)	site35(G)	site35(U)	site36(A)	site36(C)	site36(G)	site36(U)	site37(A)	site37(C)	site37(G)	site37(U)	site38(A)	site38(C)	site38(G)	site38(U)	site39(A)	site39(C)	site39(G)	site39(U)	site40(A)	site40(C)	site40(G)	site40(U)
motif0001	ALKBH5	10	0	0.0549	0.9451	0	0.0001	0.3203	0.6796	0	0.3047	0.3681	0.3271	0.0001	0.0001	0.2242	0.7756	0.0001	0.0004	0.6109	0.3887	0	0.0005	0.5562	0.0006	0.4427	0	0.0017	0.9983	0	0	0.3551	0.6449	0	0.2496	0.2936	0.4055	0.0514	0	0	1	0																																																																																																																								
motif0002	ALKBH5	8	0.9996	0	0.0004	0	0.9992	0	0.0008	0	0.9998	0	0	0.0002	0.3336	0	0.6664	0	0.3711	0	0.6289	0	0.9998	0	0	0.0002	0.0007	0	0.9993	0	1	0	0	0																																																																																																																																
motif0003	ALKBH5	8	0.0004	0	0	0.9996	0.9994	0	0	0.0006	0.0006	0	0	0.9994	0.0007	0	0	0.9993	0.0003	0	0	0.9997	0.9991	0	0	0.0009	0.0001	0	0	0.9999	0.3652	0	0	0.6348																																																																																																																																
motif0004	ALKBH5	8	0	0	0	0.9999	0	0	0	1	0	0	0.0001	0.9999	0.0004	0	0.0003	0.9994	0	0.6224	0.3772	0.0004	0	0.0003	0	0.9997	0.0001	0.0002	0	0.9998	0.0002	0.2914	0	0.7084																																																																																																																																
motif0005	ALKBH5	8	0.0003	0	0.0001	0.9996	0	0	0	1	0	0	0	1	0.0003	0	0.0003	0.9994	0	0.9993	0.0002	0.0004	0	0.3611	0	0.6388	0	0.0002	0	0.9997	0.0003	0.3425	0	0.6573																																																																																																																																
motif0006	ALKBH5	8	0.0002	0	0	0.9998	0.0005	0.0006	0	0.9989	0.0007	0.9993	0	0.0001	0.5048	0.4948	0	0.0004	0	1	0	0	1	0	0	0	0	0.3129	0.6869	0.0002	0.6887	0	0	0.3113																																																																																																																																
motif0007	ALKBH5	8	0.0003	0	0.0003	0.9994	0	0	0	1	0	0	0.0004	0.9996	0.0001	0	0	0.9999	0.0001	0.5962	0.403	0.0007	0	0	0	1	0	0.0001	0.0003	0.9995	0.0001	0.0001	0	0.9998																																																																																																																																
motif0008	ALKBH5	8	0	0.0016	0.9736	0.0248	0.325	0	0.6749	0.0001	0.0001	0.387	0.6129	0	0.1973	0.4265	0.3761	0.0001	0	0.9967	0.0033	0	0.0003	0.0001	0	0.9996	0	0	1	0	0	0	1	0																																																																																																																																
motif0009	ALKBH5	8	0	0	0.0003	0.9996	0	0	0	1	0	0	0.0004	0.9996	0.0001	0	0.0001	0.9998	0	0.5962	0.403	0.0007	0	0.0001	0	0.9999	0.0001	0.0001	0.0001	0.9997	0.0003	0.0001	0	0.9996																																																																																																																																
motif0010	ALKBH5	8	0.9998	0	0	0.0002	0.6967	0	0.303	0.0003	0.9997	0	0.0001	0.0002	0.0012	0.9986	0.0001	0.0001	0.9996	0	0	0.0004	0.6006	0	0.3993	0.0001	0.9997	0	0	0.0002	1	0	0	0																																																																																																																																
