human gene	lizard gene	human transcript	lizard transcript	motif-pattern similarity score	gap penalty score
ENSG00000275936	XLOC_041959_liz	ENST00000617183	TCONS_00093465_liz	4.635	70.152
ENSG00000229989	XLOC_033548_liz	ENST00000436880	TCONS_00075092_liz	4.294	14.274
ENSG00000225855	XLOC_048320_liz	ENST00000450199	TCONS_00107389_liz	9.345	40.848
ENSG00000260167	XLOC_038378_liz	ENST00000563540	TCONS_00085407_liz	3.86	107.72
ENSG00000237352	XLOC_022634_liz	ENST00000634502	TCONS_00050658_liz	3.716	57.463
ENSG00000214650	XLOC_030012_liz	ENST00000543970	TCONS_00067840_liz	7.279	28.541
ENSG00000258057	XLOC_011784_liz	ENST00000548872	TCONS_00026989_liz	3.29	12.369
ENSG00000256546	XLOC_045337_liz	ENST00000535337	TCONS_00100627_liz	3.925	17.464
ENSG00000266979	XLOC_028282_liz	ENST00000589259	TCONS_00063524_liz	5.545	20.14
ENSG00000272070	XLOC_022284_liz	ENST00000606901	TCONS_00049812_liz	3.447	26.715
ENSG00000221817	XLOC_031499_liz	ENST00000439792	TCONS_00070812_liz	5.783	9.706
ENSG00000260219	XLOC_048226_liz	ENST00000563252	TCONS_00107150_liz	5.162	29.687
ENSG00000270681	XLOC_027109_liz	ENST00000603472	TCONS_00060612_liz	3.973	33.191
ENSG00000255201	XLOC_045119_liz	ENST00000528407	TCONS_00100197_liz	4.576	45.161
ENSG00000254369	XLOC_038125_liz	ENST00000518947	TCONS_00084942_liz	8.285	67.744
ENSG00000267890	XLOC_029715_liz	ENST00000600998	TCONS_00067029_liz	9.146	71.015
ENSG00000256955	XLOC_043071_liz	ENST00000542763	TCONS_00095914_liz	5.865	58.529
ENSG00000233017	XLOC_021206_liz	ENST00000433121	TCONS_00047605_liz	7.855	73.727
ENSG00000276278	XLOC_051187_liz	ENST00000621980	TCONS_00114240_liz	3.821	10.296
ENSG00000255507	XLOC_039678_liz	ENST00000529719	TCONS_00088370_liz	5.607	33.257
ENSG00000279591	XLOC_047284_liz	ENST00000624910	TCONS_00105054_liz	6.808	12.237
ENSG00000254111	XLOC_044745_liz	ENST00000522643	TCONS_00099447_liz	5.095	29.469
ENSG00000261266	XLOC_053885_liz	ENST00000566143	TCONS_00120920_liz	3.147	33.917
ENSG00000256948	XLOC_023599_liz	ENST00000540226	TCONS_00053302_liz	5.976	34.237
ENSG00000274367	XLOC_053388_liz	ENST00000621689	TCONS_00119647_liz	5.724	39.697
ENSG00000230027	XLOC_031034_liz	ENST00000434540	TCONS_00069953_liz	6.881	37.378
ENSG00000235423	XLOC_029964_liz	ENST00000544890	TCONS_00067670_liz	5.321	16.655
ENSG00000253181	XLOC_044733_liz	ENST00000523507	TCONS_00099428_liz	4.803	52.902
ENSG00000261338	XLOC_004850_liz	ENST00000562328	TCONS_00011141_liz	6.15	58.307
ENSG00000237637	XLOC_016019_liz	ENST00000428419	TCONS_00036322_liz	4.594	34.653
ENSG00000268015	XLOC_049600_liz	ENST00000601745	TCONS_00110478_liz	6.786	19.094
ENSG00000228044	XLOC_006679_liz	ENST00000453568	TCONS_00014860_liz	9.174	21.505
ENSG00000250714	XLOC_051547_liz	ENST00000511929	TCONS_00115188_liz	3.82	73.457
ENSG00000214548	XLOC_037856_liz	ENST00000398461	TCONS_00084375_liz	4.617	49.554
ENSG00000272631	XLOC_031982_liz	ENST00000608826	TCONS_00071830_liz	3.198	41.154
ENSG00000275880	XLOC_005521_liz	ENST00000611744	TCONS_00012603_liz	7.198	43.477
ENSG00000268375	XLOC_028560_liz	ENST00000594114	TCONS_00064276_liz	4.913	19.814
ENSG00000262877	XLOC_008768_liz	ENST00000571724	TCONS_00020176_liz	8.885	63.269
ENSG00000272945	XLOC_021049_liz	ENST00000609218	TCONS_00047260_liz	4.487	74.143
ENSG00000248441	XLOC_042501_liz	ENST00000555332	TCONS_00094687_liz	5.218	53.718
ENSG00000232184	XLOC_038890_liz	ENST00000453572	TCONS_00086628_liz	4.942	28.262
ENSG00000263218	XLOC_008763_liz	ENST00000576215	TCONS_00020160_liz	3.907	33.113
ENSG00000227947	XLOC_036482_liz	ENST00000454285	TCONS_00081578_liz	4.81	58.541
ENSG00000276533	XLOC_057231_liz	ENST00000611214	TCONS_00129666_liz	3.849	23.168
ENSG00000252690	XLOC_052382_liz	ENST00000607520	TCONS_00117129_liz	4.504	71.254
ENSG00000267328	XLOC_038276_liz	ENST00000587767	TCONS_00085194_liz	5.543	114.789
ENSG00000205015	XLOC_006699_liz	ENST00000378340	TCONS_00014893_liz	3.932	44.612
ENSG00000230630	XLOC_039764_liz	ENST00000417354	TCONS_00088537_liz	6.522	102.913
ENSG00000255234	XLOC_019039_liz	ENST00000530045	TCONS_00042272_liz	3.894	77.065
ENSG00000214546	XLOC_028357_liz	ENST00000398554	TCONS_00063744_liz	3.347	27.665
ENSG00000203709	XLOC_036925_liz	ENST00000608023	TCONS_00082465_liz	9.501	45.341
