motif	RBP	length	site1(A)	site1(C)	site1(G)	site1(U)	site2(A)	site2(C)	site2(G)	site2(U)	site3(A)	site3(C)	site3(G)	site3(U)	site4(A)	site4(C)	site4(G)	site4(U)	site5(A)	site5(C)	site5(G)	site5(U)	site6(A)	site6(C)	site6(G)	site6(U)	site7(A)	site7(C)	site7(G)	site7(U)	site8(A)	site8(C)	site8(G)	site8(U)	site9(A)	site9(C)	site9(G)	site9(U)	site10(A)	site10(C)	site10(G)	site10(U)	site11(A)	site11(C)	site11(G)	site11(U)	site12(A)	site12(C)	site12(G)	site12(U)	site13(A)	site13(C)	site13(G)	site13(U)	site14(A)	site14(C)	site14(G)	site14(U)	site15(A)	site15(C)	site15(G)	site15(U)	site16(A)	site16(C)	site16(G)	site16(U)	site17(A)	site17(C)	site17(G)	site17(U)	site18(A)	site18(C)	site18(G)	site18(U)	site19(A)	site19(C)	site19(G)	site19(U)	site20(A)	site20(C)	site20(G)	site20(U)	site21(A)	site21(C)	site21(G)	site21(U)	site22(A)	site22(C)	site22(G)	site22(U)	site23(A)	site23(C)	site23(G)	site23(U)	site24(A)	site24(C)	site24(G)	site24(U)	site25(A)	site25(C)	site25(G)	site25(U)	site26(A)	site26(C)	site26(G)	site26(U)	site27(A)	site27(C)	site27(G)	site27(U)	site28(A)	site28(C)	site28(G)	site28(U)	site29(A)	site29(C)	site29(G)	site29(U)	site30(A)	site30(C)	site30(G)	site30(U)	site31(A)	site31(C)	site31(G)	site31(U)	site32(A)	site32(C)	site32(G)	site32(U)	site33(A)	site33(C)	site33(G)	site33(U)	site34(A)	site34(C)	site34(G)	site34(U)	site35(A)	site35(C)	site35(G)	site35(U)	site36(A)	site36(C)	site36(G)	site36(U)	site37(A)	site37(C)	site37(G)	site37(U)	site38(A)	site38(C)	site38(G)	site38(U)	site39(A)	site39(C)	site39(G)	site39(U)	site40(A)	site40(C)	site40(G)	site40(U)
motif0001	ALKBH5	10	0	0.0036	0.9964	0	0	0.3799	0.6201	0	0.5085	0.2929	0.1986	0	0	0.2966	0.7034	0	0	0.6954	0.3046	0	0	0.3243	0	0.6756	0	0.0001	0.9999	0	0	0.3951	0.6049	0	0.4747	0.1911	0.3279	0.0063	0	0	1	0																																																																																																																								
motif0002	ALKBH5	8	1	0	0	0	1	0	0	0	1	0	0	0	0.2884	0	0.7116	0	0.3622	0	0.6378	0	1	0	0	0	0	0	1	0	1	0	0	0																																																																																																																																
motif0003	ALKBH5	8	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0.9999	0	0	0.0001	0	0	0	1	0.42	0	0	0.58																																																																																																																																
motif0004	ALKBH5	8	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.5538	0.4462	0	0	0	0	1	0	0	0	1	0	0.3111	0	0.6888																																																																																																																																
motif0005	ALKBH5	8	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0.3762	0	0.6238	0	0	0	1	0	0.3425	0	0.6575																																																																																																																																
motif0006	ALKBH5	8	0	0	0	1	0	0	0	0.9999	0	1	0	0	0.4767	0.5233	0	0	0	1	0	0	1	0	0	0	0	0.3281	0.6719	0	0.6807	0	0	0.3193																																																																																																																																
motif0007	ALKBH5	8	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.5259	0.4741	0	0	0	0	1	0	0	0	1	0	0	0	1																																																																																																																																
motif0008	ALKBH5	8	0	0.0001	0.9983	0.0015	0.3275	0	0.6725	0	0	0.4162	0.5838	0	0.2855	0.3879	0.3266	0	0	0.9998	0.0002	0	0	0	0	1	0	0	1	0	0	0	1	0																																																																																																																																
motif0009	ALKBH5	8	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.5259	0.4741	0	0	0	0	1	0	0	0	1	0	0	0	1																																																																																																																																
motif0010	ALKBH5	8	1	0	0	0	0.6979	0	0.3021	0	1	0	0	0	0.0001	0.9999	0	0	1	0	0	0	0.6141	0	0.3859	0	1	0	0	0	1	0	0	0																																																																																																																																
motif0011	ATXN2	10	0	0	0	1	0	0	0.7324	0.2676	0	0	0	1	0.3189	0	0.4653	0.2158	0	0	0	1	0.3585	0	0.5002	0.1413	0	0	0	1	0.2507	0	0.3447	0.4046	0	0	0	1	0	0	0.4442	0.5558																																																																																																																								
motif0012	ATXN2	8	0	1	0	0	0	1	0	0	0	0.2779	0	0.7221	0	0.8726	0	0.1274	0	0.2273	0	0.7727	0	0.5238	0	0.4762	0	1	0	0	0	0.8771	0	0.1229																																																																																																																																
motif0013	ATXN2	10	0	0.3227	0.6773	0	0	0.9238	0.0762	0	0.2415	0.128	0.0303	0.6002	0	0	1	0	0.0108	0.5947	0.2696	0.1249	0	0.1797	0.1789	0.6414	0	0.3422	0.6577	0	0	1	0	0	0	0.1465	0	0.8535	0	0.2372	0.7628	0																																																																																																																								
motif0014	ATXN2	10	0	0	1	0	0.5245	0	0.4081	0.0674	0	0	1	0	0	0.3841	0.6159	0	0.7368	0	0	0.2631	0	0	1	0	0.3395	0	0.6605	0	0.5972	0	0.3903	0.0126	0.4522	0	0.5463	0.0014	0.3537	0.1558	0.4905	0																																																																																																																								
motif0015	ATXN2	8	0	0.6556	0.3444	0	0	0	0	1	0	0	0.5354	0.4646	0	0.4853	0.5146	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1																																																																																																																																
motif0016	ATXN2	8	0.0001	0.9995	0.0002	0.0003	0.0045	0	0	0.9955	0	0	0.4778	0.5222	0.0002	0.351	0.2453	0.4036	0.0002	0.9998	0	0	0	0	0	1	0	0	1	0	0	0	0	1																																																																																																																																
motif0017	ATXN2	8	0	0.6397	0	0.3603	0.163	0.837	0	0	0	1	0	0	0	1	0	0	0.3803	0	0	0.6197	0	0.6415	0.3585	0	0	1	0	0	0	0.9999	0	0																																																																																																																																
motif0018	ATXN2	8	0	1	0	0	0	1	0	0	0	0.3983	0	0.6017	0	0.1249	0.3229	0.5521	0	0.9953	0	0.0047	0	1	0	0	0	0.4858	0	0.5142	0	1	0	0																																																																																																																																
motif0019	ATXN2	8	0	0	0.2791	0.7209	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0.534	0.466	0	0	0.3872	0	0	0.6127	0	0	1	0																																																																																																																																
motif0020	CAPRIN1	10	0	0.0097	0.9903	0	0.01	0.1805	0.8095	0	0	0.0006	0.9994	0	0	0.4121	0.5879	0	0.3093	0.3541	0	0.3366	0	0.2463	0.7537	0	0	0.5095	0.4905	0	0.299	0.1789	0.2374	0.2848	0	0	1	0	0	0.4146	0.5854	0																																																																																																																								
motif0021	CAPRIN1	8	0.4279	0	0.5721	0	0	0	1	0	0.4517	0.0975	0.4509	0	1	0	0	0	0	0	1	0	0.4653	0	0.5343	0.0003	0.0001	0	0.9997	0.0002	0.0002	0	0.9998	0																																																																																																																																
motif0022	CAPRIN1	7	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.914	0.086	0	0.496	0	0	0.504	0	0	1	0																																																																																																																																				
motif0023	CAPRIN1	8	0	0.9999	0	0	0	1	0	0	0.3378	0.3748	0	0.2873	0	0.9999	0.0001	0	0.3988	0	0	0.6011	0	0	1	0	0	0.6771	0.3229	0	0	1	0	0																																																																																																																																
motif0024	CAPRIN1	8	0.0044	0	0.4747	0.5209	0	0	1	0	0.5091	0	0.4909	0	1	0	0	0	0	0	1	0	0.0001	0.9997	0.0002	0	0.5129	0	0.0001	0.487	0	0	1	0																																																																																																																																
motif0025	CAPRIN1	8	0	0	0.4541	0.5459	0	0	1	0	0.4192	0	0.5779	0.0029	0	1	0	0	1	0	0	0	0	0	1	0	0.5094	0	0	0.4906	0	0	1	0																																																																																																																																
motif0026	CAPRIN1	8	0.2048	0	0.0001	0.7951	0	0	1	0	0.9998	0	0.0001	0	1	0	0	0	0	0	1	0	0.1889	0.5471	0.2639	0	0.3328	0	0.0001	0.6671	0	0	1	0																																																																																																																																
motif0027	CAPRIN1	8	0.3243	0	0.6757	0	0	0	1	0	0.3189	0.3175	0.3637	0	1	0	0	0	0	0	1	0	0	0	0.7418	0.2582	0	0	1	0	0	0	1	0																																																																																																																																
motif0033	CPSF2	8	0	0	0	1	0	0	0	1	0.3076	0	0	0.6924	1	0	0	0	0	0	0	1	1	0	0	0	0.6277	0	0	0.3723	1	0	0	0																																																																																																																																
motif0034	CPSF2	10	1	0	0	0	1	0	0	0	1	0	0	0	0.0001	0	0.3992	0.6007	1	0	0	0	0.5892	0.2207	0.1901	0	0.8599	0	0	0.1401	0.6047	0	0	0.3953	0.3718	0.2069	0.2	0.2213	0.9996	0	0	0.0004																																																																																																																								
motif0035	CPSF2	10	0	0	0	1	0	0	0.3313	0.6686	0	0	0	1	0.5619	0.4243	0	0.0137	0	0	0	1	0	0	0	1	0.0001	0.3318	0.2225	0.4456	0.5102	0	0	0.4898	0	0.4233	0.0002	0.5765	0	0	0	1																																																																																																																								
motif0036	CPSF2	10	0	0.6832	0.3168	0	0	0.7107	0.0442	0.2451	0	0.6306	0.0471	0.3223	0	0.9992	0.0008	0	0.3323	0.0001	0.1116	0.5559	0	0.2522	0.7478	0	0	0.8234	0.1766	0	0	1	0	0	0	0.2634	0.0563	0.6803	0	0.5715	0.4285	0																																																																																																																								
motif0037	CPSF2	10	0	1	0	0	0	0.2085	0	0.7915	0	0.9996	0.0004	0	0	0.2545	0	0.7454	0	0.6504	0.1121	0.2375	0.0009	0.5165	0	0.4826	0	0.4008	0	0.5992	0	0.6195	0	0.3805	0	0.7066	0	0.2934	0	0.6253	0	0.3747																																																																																																																								
motif0038	CPSF2	8	0	0.0001	0.9999	0	0.2656	0	0.4201	0.3143	0	0.3143	0.6857	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0.5312	0.4688	0	0	1	0																																																																																																																																
motif0039	CPSF2	8	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0.634	0	0	0.366	1	0	0	0	0	0.2135	0	0.7865																																																																																																																																
motif0040	CPSF2	8	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0.634	0	0	0.366	1	0	0	0	0	0.2135	0	0.7865																																																																																																																																
motif0041	CPSF3	10	0	0.396	0.604	0	0	0.7001	0.299	0.0008	0	0.5326	0.4674	0	0	0.6265	0.3735	0	0	0.5504	0.4495	0	0	0	0.9999	0	0	0.5187	0.4812	0	0	0.9999	0.0001	0	0	0.1383	0.4118	0.4499	0	0.4724	0.5276	0																																																																																																																								
motif0042	CPSF3	8	0	1	0	0	0.0012	0.6051	0	0.3937	0	1	0	0	0.3676	0.0783	0	0.5541	0	0.5038	0.4962	0	0	0.9999	0	0	0	1	0	0	0	1	0	0																																																																																																																																
motif0043	CPSF3	10	0	0	0.6388	0.3612	0	0	0.9935	0.0065	0.4787	0	0.286	0.2353	0	0	1	0	0.2831	0.3448	0.3721	0	0.6226	0	0	0.3774	0	0	1	0	0.0005	0	0.9995	0	0.4769	0	0.3838	0.1393	0.3634	0	0.6366	0																																																																																																																								
motif0044	CPSF3	8	0	1	0	0	0.2918	0.4054	0	0.3028	0.2571	0.4248	0	0.3181	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0																																																																																																																																
motif0045	CPSF4	10	0	0.5732	0.4268	0	0	0.2808	0.1901	0.5291	0	0.6674	0.3326	0	0	0.6853	0.0002	0.3144	0	0.8823	0.1177	0	0.2481	0	0.187	0.5649	0	0.4599	0.5401	0	0	0.8624	0.1375	0	0	0.999	0.001	0.0001	0	0.9986	0.0014	0																																																																																																																								
motif0046	CPSF4	8	0	0	1	0	0	0	1	0	0	0.4519	0.5481	0	0.5788	0	0	0.4212	0	0	1	0	0	0.1072	0.8928	0	0	0	0.6651	0.3349	0	0	1	0																																																																																																																																
motif0047	CPSF4	8	0	0	1	0	0.4213	0	0.5139	0.0648	0.4428	0	0.5572	0	0	0	1	0	1	0	0	0	0	0	0.9999	0	0.4797	0	0.5202	0	0	0	1	0																																																																																																																																
