human gene	frog gene	human transcript	frog transcript	motif-pattern similarity score	gap penalty score
ENSG00000233030	XLOC_022917_frg	ENST00000428289	TCONS_00073051_frg	7.731	52.908
ENSG00000283045	XLOC_027585_frg	ENST00000634783	TCONS_00088427_frg	3.258	34.453
ENSG00000227463	XLOC_001006_frg	ENST00000423515	TCONS_00003284_frg	5.279	18.105
ENSG00000274993	XLOC_029078_frg	ENST00000610769	TCONS_00093248_frg	7.867	27.794
ENSG00000267016	XLOC_027140_frg	ENST00000591110	TCONS_00087088_frg	6.334	56.431
ENSG00000229522	XLOC_028211_frg	ENST00000425385	TCONS_00090394_frg	4.613	68.887
ENSG00000260034	XLOC_026772_frg	ENST00000562280	TCONS_00085596_frg	4.533	30.228
ENSG00000196366	XLOC_021593_frg	ENST00000624034	TCONS_00068974_frg	5.716	194.76
ENSG00000214548	XLOC_022590_frg	ENST00000452120	TCONS_00071993_frg	4.704	41.439
ENSG00000267432	XLOC_027155_frg	ENST00000598378	TCONS_00087148_frg	4.139	53.13
ENSG00000163364	XLOC_026145_frg	ENST00000339037	TCONS_00083492_frg	4.547	32.876
ENSG00000227407	XLOC_019816_frg	ENST00000457113	TCONS_00063018_frg	4.74	14.759
ENSG00000228835	XLOC_017770_frg	ENST00000426194	TCONS_00056385_frg	6.373	86.463
ENSG00000234693	XLOC_027308_frg	ENST00000435177	TCONS_00087671_frg	3.07	37.35
ENSG00000178193	XLOC_011555_frg	ENST00000433521	TCONS_00036713_frg	7.028	21.319
ENSG00000227373	XLOC_013352_frg	ENST00000426899	TCONS_00042623_frg	10.1	62.069
ENSG00000232358	XLOC_028025_frg	ENST00000424566	TCONS_00089834_frg	4.773	33.633
ENSG00000267943	XLOC_034215_frg	ENST00000596769	TCONS_00109064_frg	6.357	59.625
ENSG00000242590	XLOC_019664_frg	ENST00000418300	TCONS_00062564_frg	6.591	56.073
ENSG00000240401	XLOC_015758_frg	ENST00000626674	TCONS_00050228_frg	6.082	30.51
ENSG00000279726	XLOC_008185_frg	ENST00000624176	TCONS_00026331_frg	10.08	23.691
ENSG00000254111	XLOC_007698_frg	ENST00000522643	TCONS_00024752_frg	6.17	66.902
ENSG00000234913	XLOC_008081_frg	ENST00000441167	TCONS_00025997_frg	12.116	56.492
ENSG00000279429	XLOC_018286_frg	ENST00000623016	TCONS_00057826_frg	3.537	24.152
ENSG00000238197	XLOC_007276_frg	ENST00000458479	TCONS_00023153_frg	5.764	37.356
ENSG00000271811	XLOC_012975_frg	ENST00000606154	TCONS_00041244_frg	3.115	60.083
ENSG00000246211	XLOC_007395_frg	ENST00000502071	TCONS_00023499_frg	6.965	48.356
ENSG00000278075	XLOC_016578_frg	ENST00000618070	TCONS_00052859_frg	4.288	17.937
ENSG00000228853	XLOC_011564_frg	ENST00000453121	TCONS_00036744_frg	4.632	52.655
ENSG00000250379	XLOC_024152_frg	ENST00000510176	TCONS_00076858_frg	4.958	12.728
ENSG00000271430	XLOC_023326_frg	ENST00000603037	TCONS_00074523_frg	7.064	31.482
ENSG00000241084	XLOC_023082_frg	ENST00000435157	TCONS_00073611_frg	5.848	36.245
ENSG00000225756	XLOC_031289_frg	ENST00000425189	TCONS_00100608_frg	4.097	165.314
ENSG00000260233	XLOC_012438_frg	ENST00000623234	TCONS_00039654_frg	6.254	85.578
ENSG00000268686	XLOC_019880_frg	ENST00000599433	TCONS_00063270_frg	5.781	32.539
ENSG00000272701	XLOC_008775_frg	ENST00000610046	TCONS_00028119_frg	3.998	95.088
ENSG00000196756	XLOC_027257_frg	ENST00000449469	TCONS_00087472_frg	8.144	111.159
ENSG00000272677	XLOC_003783_frg	ENST00000609552	TCONS_00011808_frg	3.729	52.577
ENSG00000253405	XLOC_016983_frg	ENST00000519050	TCONS_00054027_frg	3.549	57.223
ENSG00000260899	XLOC_025688_frg	ENST00000483578	TCONS_00081942_frg	4.268	34.623
ENSG00000226455	XLOC_014097_frg	ENST00000445838	TCONS_00045307_frg	7.277	64.386
ENSG00000267523	XLOC_019822_frg	ENST00000585940	TCONS_00063077_frg	11.877	51.451
ENSG00000180861	XLOC_013001_frg	ENST00000531049	TCONS_00041354_frg	5.267	27.517
ENSG00000263585	XLOC_021376_frg	ENST00000583521	TCONS_00068098_frg	3.919	41.503
