human gene	mouse gene	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000182873	ENSMUSG00000085063	0.482142857	0.704918033
ENSG00000182873	ENSMUSG00000098729	0.624356775	0.816666667
ENSG00000215014	ENSMUSG00000073679	0.598393574	0.683333333
ENSG00000215014	ENSMUSG00000086549	0.477911647	0.416666667
ENSG00000215014	ENSMUSG00000086682	0.585741811	0.766666667
ENSG00000215014	ENSMUSG00000087381	0.502008032	0.433333333
ENSG00000215014	ENSMUSG00000096221	0.686746988	0.816666667
ENSG00000215014	ENSMUSG00000103183	0.506024096	0.45
ENSG00000223823	ENSMUSG00000086549	0.546436285	0.788461538
ENSG00000223823	ENSMUSG00000087381	0.529157667	0.75
ENSG00000223823	ENSMUSG00000103183	0.529157667	0.75
ENSG00000224870	ENSMUSG00000073679	0.633802817	0.754385965
ENSG00000224870	ENSMUSG00000086549	0.551307847	0.517857143
ENSG00000224870	ENSMUSG00000087381	0.563380282	0.535714286
ENSG00000224870	ENSMUSG00000103183	0.567404427	0.553571429
ENSG00000225285	ENSMUSG00000054514	0.656686627	0.793103448
ENSG00000225285	ENSMUSG00000097728	0.660678643	0.810344828
ENSG00000225905	ENSMUSG00000073679	0.632734531	0.736842105
ENSG00000225905	ENSMUSG00000086549	0.550898204	0.49122807
ENSG00000225905	ENSMUSG00000087381	0.562874251	0.50877193
ENSG00000225905	ENSMUSG00000096221	0.592814371	0.736842105
ENSG00000225905	ENSMUSG00000103183	0.566866267	0.526315789
ENSG00000226969	ENSMUSG00000054514	0.386643234	0.614035088
ENSG00000226969	ENSMUSG00000085063	0.564147627	0.721311475
ENSG00000226969	ENSMUSG00000097728	0.383128295	0.596491228
ENSG00000226969	ENSMUSG00000098729	0.660377358	0.816666667
ENSG00000230415	ENSMUSG00000073679	0.581443299	0.631578947
ENSG00000230415	ENSMUSG00000086549	0.554639175	0.666666667
ENSG00000230415	ENSMUSG00000087381	0.567010309	0.685185185
ENSG00000230415	ENSMUSG00000103183	0.571134021	0.703703704
ENSG00000231050	ENSMUSG00000073679	0.403508772	0.596774194
ENSG00000231050	ENSMUSG00000084803	0.626315789	0.822580645
ENSG00000231050	ENSMUSG00000086682	0.578947368	0.806451613
ENSG00000231050	ENSMUSG00000096221	0.50877193	0.725806452
ENSG00000233542	ENSMUSG00000054514	0.409490334	0.649122807
ENSG00000233542	ENSMUSG00000085063	0.576449912	0.737704918
ENSG00000233542	ENSMUSG00000097728	0.405975395	0.631578947
ENSG00000233542	ENSMUSG00000098729	0.641509434	0.8
ENSG00000234396	ENSMUSG00000084803	0.590509666	0.728813559
ENSG00000240731	ENSMUSG00000054514	0.573770492	0.578947368
ENSG00000240731	ENSMUSG00000097728	0.577868852	0.596491228
ENSG00000242590	ENSMUSG00000086549	0.477223427	0.740740741
ENSG00000242590	ENSMUSG00000087381	0.459869848	0.703703704
ENSG00000242590	ENSMUSG00000103183	0.459869848	0.703703704
ENSG00000268575	ENSMUSG00000054514	0.52480916	0.741935484
ENSG00000268575	ENSMUSG00000085063	0.626893939	0.870967742
ENSG00000268575	ENSMUSG00000097728	0.52480916	0.725806452
ENSG00000268575	ENSMUSG00000098729	0.457975986	0.774193548
ENSG00000271806	ENSMUSG00000085063	0.521582734	0.704918033
ENSG00000271806	ENSMUSG00000098729	0.648370497	0.816666667
ENSG00000272004	ENSMUSG00000073679	0.577075099	0.650793651
ENSG00000272004	ENSMUSG00000086682	0.630057803	0.841269841
ENSG00000272004	ENSMUSG00000096221	0.664031621	0.777777778
ENSG00000272106	ENSMUSG00000054514	0.63253012	0.774193548
ENSG00000272106	ENSMUSG00000085063	0.59469697	0.790322581
ENSG00000272106	ENSMUSG00000097728	0.63253012	0.758064516
ENSG00000272141	ENSMUSG00000086549	0.567164179	0.788461538
ENSG00000272141	ENSMUSG00000087381	0.55010661	0.75
ENSG00000272141	ENSMUSG00000103183	0.55010661	0.75
ENSG00000272161	ENSMUSG00000098729	0.547169811	0.6
ENSG00000272420	ENSMUSG00000098729	0.533447684	0.533333333
ENSG00000272455	ENSMUSG00000073679	0.630522088	0.754385965
ENSG00000272455	ENSMUSG00000086549	0.548192771	0.50877193
ENSG00000272455	ENSMUSG00000087381	0.560240964	0.526315789
ENSG00000272455	ENSMUSG00000096221	0.586345382	0.719298246
ENSG00000272455	ENSMUSG00000103183	0.564257028	0.543859649
ENSG00000177133	ENSMUSG00000084987	0.541732283	0.764705882
ENSG00000177133	ENSMUSG00000085069	0.53343465	0.742857143
ENSG00000177133	ENSMUSG00000086565	0.5234375	0.8125
ENSG00000182873	ENSMUSG00000073686	0.525477707	0.754385965
ENSG00000224387	ENSMUSG00000073686	0.589171975	0.543859649
ENSG00000225077	ENSMUSG00000085179	0.555219365	0.818181818
ENSG00000225077	ENSMUSG00000089757	0.53021148	0.739130435
ENSG00000225077	ENSMUSG00000108391	0.501623377	0.458333333
ENSG00000225126	ENSMUSG00000085593	0.590301003	0.689655172
ENSG00000225931	ENSMUSG00000087437	0.564564565	0.5
ENSG00000225931	ENSMUSG00000092483	0.569069069	0.490909091
ENSG00000226286	ENSMUSG00000084987	0.54488189	0.794117647
ENSG00000226286	ENSMUSG00000085069	0.513677812	0.742857143
ENSG00000226286	ENSMUSG00000086565	0.540625	0.84375
ENSG00000226374	ENSMUSG00000085390	0.536656891	0.777777778
ENSG00000226374	ENSMUSG00000087071	0.476479514	0.307692308
ENSG00000226944	ENSMUSG00000085724	0.564102564	0.772727273
ENSG00000226944	ENSMUSG00000090057	0.552193646	0.869565217
ENSG00000226969	ENSMUSG00000073686	0.436305732	0.719298246
ENSG00000227589	ENSMUSG00000085390	0.414956012	0.5
ENSG00000227589	ENSMUSG00000087071	0.499241275	0.615384615
ENSG00000227634	ENSMUSG00000078492	0.601769912	0.823529412
ENSG00000227634	ENSMUSG00000085213	0.577371048	0.590909091
ENSG00000227634	ENSMUSG00000085869	0.636054422	0.7
ENSG00000228037	ENSMUSG00000087437	0.567567568	0.480769231
ENSG00000228037	ENSMUSG00000092483	0.572072072	0.472727273
ENSG00000228526	ENSMUSG00000085368	0.533333333	0.64
ENSG00000228526	ENSMUSG00000085403	0.518927445	0.615384615
ENSG00000228526	ENSMUSG00000086665	0.595930233	0.580645161
ENSG00000228526	ENSMUSG00000086767	0.569069069	0.607142857
ENSG00000228526	ENSMUSG00000102813	0.594202899	0.580645161
ENSG00000228750	ENSMUSG00000104142	0.629441624	0.807692308
ENSG00000228750	ENSMUSG00000108391	0.563311688	0.75
ENSG00000229393	ENSMUSG00000073686	0.589171975	0.543859649
ENSG00000230679	ENSMUSG00000085213	0.500831947	0.681818182
ENSG00000230679	ENSMUSG00000087094	0.537444934	0.451612903
ENSG00000231510	ENSMUSG00000073699	0.34107402	0.136363636
ENSG00000231510	ENSMUSG00000087454	0.488888889	0.15
ENSG00000231630	ENSMUSG00000073686	0.511146497	0.350877193
ENSG00000231630	ENSMUSG00000084987	0.48976378	0.794117647
ENSG00000231630	ENSMUSG00000085069	0.483282675	0.771428571
ENSG00000231630	ENSMUSG00000086565	0.471875	0.84375
ENSG00000231868	ENSMUSG00000085724	0.565705128	0.909090909
ENSG00000232596	ENSMUSG00000086272	0.328849028	0.578947368
ENSG00000232912	ENSMUSG00000078492	0.555752212	0.882352941
ENSG00000232912	ENSMUSG00000085213	0.655574043	0.772727273
ENSG00000232912	ENSMUSG00000085869	0.619047619	0.75
ENSG00000233234	ENSMUSG00000084987	0.48976378	0.794117647
ENSG00000233234	ENSMUSG00000085069	0.483282675	0.771428571
ENSG00000233234	ENSMUSG00000086565	0.471875	0.84375
ENSG00000233304	ENSMUSG00000086272	0.536621824	0.736842105
ENSG00000233645	ENSMUSG00000085097	0.60456942	0.823529412
ENSG00000235054	ENSMUSG00000086272	0.436472347	0.684210526
ENSG00000235131	ENSMUSG00000085390	0.444281525	0.5
ENSG00000235131	ENSMUSG00000087071	0.517450683	0.615384615
ENSG00000236266	ENSMUSG00000085097	0.583479789	0.294117647
ENSG00000236269	ENSMUSG00000086665	0.504360465	0.419354839
ENSG00000236269	ENSMUSG00000102813	0.513043478	0.419354839
ENSG00000236423	ENSMUSG00000086272	0.541106129	0.736842105
ENSG00000236948	ENSMUSG00000073699	0.579100145	0.954545455
ENSG00000236948	ENSMUSG00000087454	0.294444444	0.476190476
ENSG00000236948	ENSMUSG00000090057	0.444780635	0.869565217
ENSG00000237058	ENSMUSG00000086810	0.518072289	0.675675676
ENSG00000237058	ENSMUSG00000087437	0.588588589	0.519230769
ENSG00000237058	ENSMUSG00000092483	0.573573574	0.436363636
ENSG00000237058	ENSMUSG00000098424	0.509893455	0.685714286
ENSG00000237365	ENSMUSG00000085593	0.501672241	0.896551724
ENSG00000237436	ENSMUSG00000085593	0.364548495	0.724137931
ENSG00000237728	ENSMUSG00000085593	0.608695652	0.75862069
ENSG00000238164	ENSMUSG00000073686	0.573248408	0.456140351
ENSG00000238164	ENSMUSG00000085069	0.462006079	0.542857143
ENSG00000238260	ENSMUSG00000087071	0.487101669	0.5
ENSG00000238290	ENSMUSG00000078492	0.67079646	0.823529412
ENSG00000238290	ENSMUSG00000085213	0.505823627	0.590909091
ENSG00000238290	ENSMUSG00000085869	0.590136054	0.7
ENSG00000260972	ENSMUSG00000085648	0.405444126	0.6
ENSG00000260972	ENSMUSG00000089757	0.388217523	0.565217391
ENSG00000269925	ENSMUSG00000078492	0.553982301	0.352941176
ENSG00000269978	ENSMUSG00000085593	0.518394649	0.379310345
ENSG00000270035	ENSMUSG00000085593	0.518394649	0.379310345
ENSG00000270171	ENSMUSG00000085593	0.52006689	0.379310345
ENSG00000271746	ENSMUSG00000085179	0.479576399	0.727272727
ENSG00000271746	ENSMUSG00000089757	0.433534743	0.652173913
ENSG00000271746	ENSMUSG00000108391	0.542207792	0.541666667
ENSG00000271806	ENSMUSG00000073686	0.492038217	0.754385965
ENSG00000272088	ENSMUSG00000086810	0.344879518	0.486486486
ENSG00000272088	ENSMUSG00000098424	0.354642314	0.514285714
ENSG00000272153	ENSMUSG00000086272	0.497757848	0.631578947
ENSG00000272161	ENSMUSG00000073686	0.574840764	0.631578947
ENSG00000272235	ENSMUSG00000084987	0.453543307	0.735294118
ENSG00000272235	ENSMUSG00000085069	0.425531915	0.685714286
ENSG00000272235	ENSMUSG00000086565	0.4625	0.78125
ENSG00000272235	ENSMUSG00000087071	0.341426404	0.730769231
ENSG00000272420	ENSMUSG00000073686	0.590764331	0.561403509
ENSG00000272449	ENSMUSG00000087437	0.56006006	0.480769231
ENSG00000272449	ENSMUSG00000092483	0.569069069	0.509090909
ENSG00000279839	ENSMUSG00000086810	0.456325301	0.675675676
ENSG00000279839	ENSMUSG00000087437	0.357357357	0.442307692
ENSG00000279839	ENSMUSG00000098424	0.465753425	0.714285714
ENSG00000283259	ENSMUSG00000086810	0.480421687	0.702702703
ENSG00000283259	ENSMUSG00000087437	0.545045045	0.519230769
ENSG00000283259	ENSMUSG00000092483	0.53003003	0.436363636
ENSG00000283259	ENSMUSG00000098424	0.485540335	0.742857143
ENSG00000117242	ENSMUSG00000046109	0.557069847	0.564102564
ENSG00000117242	ENSMUSG00000078519	0.570397112	0.583333333
ENSG00000175147	ENSMUSG00000073728	0.726523888	0.821428571
ENSG00000175147	ENSMUSG00000085424	0.644654088	0.666666667
ENSG00000175147	ENSMUSG00000085761	0.665610143	0.733333333
ENSG00000175147	ENSMUSG00000085922	0.590625	0.617647059
ENSG00000175147	ENSMUSG00000086818	0.562893082	0.571428571
ENSG00000175147	ENSMUSG00000087525	0.702020202	0.821428571
ENSG00000175147	ENSMUSG00000100396	0.583987441	0.617647059
ENSG00000179743	ENSMUSG00000073731	0.498542274	0.707317073
ENSG00000179743	ENSMUSG00000085395	0.411849711	0.55
ENSG00000179743	ENSMUSG00000085836	0.449712644	0.575
ENSG00000179743	ENSMUSG00000085922	0.4125	0.5
ENSG00000179743	ENSMUSG00000086061	0.47277937	0.625
ENSG00000179743	ENSMUSG00000086818	0.429245283	0.527777778
ENSG00000179743	ENSMUSG00000097620	0.278335725	0.452380952
ENSG00000179743	ENSMUSG00000100396	0.422291994	0.5
ENSG00000179840	ENSMUSG00000085368	0.587596899	0.846153846
ENSG00000179840	ENSMUSG00000085403	0.616719243	0.884615385
ENSG00000179840	ENSMUSG00000086767	0.515015015	0.785714286
ENSG00000203469	ENSMUSG00000086606	0.555023923	0.621621622
ENSG00000203469	ENSMUSG00000086766	0.535603715	0.58974359
ENSG00000204362	ENSMUSG00000087698	0.43148688	0.425
ENSG00000204464	ENSMUSG00000073728	0.716639209	0.821428571
ENSG00000204464	ENSMUSG00000085424	0.644654088	0.696969697
ENSG00000204464	ENSMUSG00000085761	0.665610143	0.766666667
ENSG00000204464	ENSMUSG00000085922	0.590625	0.647058824
ENSG00000204464	ENSMUSG00000086818	0.580188679	0.6
ENSG00000204464	ENSMUSG00000087525	0.683501684	0.821428571
ENSG00000204464	ENSMUSG00000100396	0.588697017	0.647058824
ENSG00000218510	ENSMUSG00000086845	0.641791045	0.5625
ENSG00000223643	ENSMUSG00000085395	0.355491329	0.475
