motif	RBP	length	site1(A)	site1(C)	site1(G)	site1(U)	site2(A)	site2(C)	site2(G)	site2(U)	site3(A)	site3(C)	site3(G)	site3(U)	site4(A)	site4(C)	site4(G)	site4(U)	site5(A)	site5(C)	site5(G)	site5(U)	site6(A)	site6(C)	site6(G)	site6(U)	site7(A)	site7(C)	site7(G)	site7(U)	site8(A)	site8(C)	site8(G)	site8(U)	site9(A)	site9(C)	site9(G)	site9(U)	site10(A)	site10(C)	site10(G)	site10(U)	site11(A)	site11(C)	site11(G)	site11(U)	site12(A)	site12(C)	site12(G)	site12(U)	site13(A)	site13(C)	site13(G)	site13(U)	site14(A)	site14(C)	site14(G)	site14(U)	site15(A)	site15(C)	site15(G)	site15(U)	site16(A)	site16(C)	site16(G)	site16(U)	site17(A)	site17(C)	site17(G)	site17(U)	site18(A)	site18(C)	site18(G)	site18(U)	site19(A)	site19(C)	site19(G)	site19(U)	site20(A)	site20(C)	site20(G)	site20(U)	site21(A)	site21(C)	site21(G)	site21(U)	site22(A)	site22(C)	site22(G)	site22(U)	site23(A)	site23(C)	site23(G)	site23(U)	site24(A)	site24(C)	site24(G)	site24(U)	site25(A)	site25(C)	site25(G)	site25(U)	site26(A)	site26(C)	site26(G)	site26(U)	site27(A)	site27(C)	site27(G)	site27(U)	site28(A)	site28(C)	site28(G)	site28(U)	site29(A)	site29(C)	site29(G)	site29(U)	site30(A)	site30(C)	site30(G)	site30(U)	site31(A)	site31(C)	site31(G)	site31(U)	site32(A)	site32(C)	site32(G)	site32(U)	site33(A)	site33(C)	site33(G)	site33(U)	site34(A)	site34(C)	site34(G)	site34(U)	site35(A)	site35(C)	site35(G)	site35(U)	site36(A)	site36(C)	site36(G)	site36(U)	site37(A)	site37(C)	site37(G)	site37(U)	site38(A)	site38(C)	site38(G)	site38(U)	site39(A)	site39(C)	site39(G)	site39(U)	site40(A)	site40(C)	site40(G)	site40(U)
motif0020	CAPRIN1	10	0	0.0024	0.9976	0	0.0025	0.2547	0.7427	0	0	0.0001	0.9999	0	0	0.4868	0.5132	0	0.3071	0.2932	0	0.3997	0	0.2399	0.7601	0	0	0.5442	0.4558	0	0.4387	0.1189	0.1543	0.288	0	0	1	0	0	0.4159	0.5841	0																																																																																																																								
motif0021	CAPRIN1	8	0.4983	0	0.5017	0	0	0	1	0	0.5019	0.0616	0.4365	0	1	0	0	0	0	0	1	0	0.5755	0	0.4244	0.0001	0	0	0.9999	0.0001	0.0001	0	0.9999	0																																																																																																																																
motif0022	CAPRIN1	7	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.9157	0.0843	0	0.4567	0	0	0.5433	0	0	1	0																																																																																																																																				
motif0023	CAPRIN1	8	0	1	0	0	0	1	0	0	0.3666	0.2683	0	0.365	0	1	0	0	0.3933	0	0	0.6067	0	0	1	0	0	0.6619	0.3381	0	0	1	0	0																																																																																																																																
motif0024	CAPRIN1	8	0.0011	0	0.3498	0.6491	0	0	1	0	0.5165	0	0.4835	0	1	0	0	0	0	0	1	0	0	0.9999	0.0001	0	0.4824	0	0	0.5176	0	0	1	0																																																																																																																																
motif0025	CAPRIN1	8	0	0	0.4012	0.5988	0	0	1	0	0.5193	0	0.48	0.0007	0	1	0	0	1	0	0	0	0	0	1	0	0.5154	0	0	0.4846	0	0	1	0																																																																																																																																
motif0026	CAPRIN1	8	0.1605	0	0	0.8394	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0.2171	0.4979	0.285	0	0.3253	0	0	0.6747	0	0	1	0																																																																																																																																
motif0027	CAPRIN1	8	0.3571	0	0.6429	0	0	0	1	0	0.3489	0.3353	0.3158	0	1	0	0	0	0	0	1	0	0	0	0.69	0.31	0	0	1	0	0	0	1	0																																																																																																																																
motif0028	CPSF1	8	0	0	0	1	0	0	0	1	0	0	0	1	0.6127	0.3873	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1																																																																																																																																
motif0029	CPSF1	8	0	0	0.245	0.755	0	0	0.3819	0.6181	0	0.6112	0.3888	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1																																																																																																																																
motif0030	CPSF1	8	0	0	0	1	0	0	0	1	0	0	1	0	0	0.7051	0	0.2949	0	0	0	1	0	0.5384	0	0.4616	0	0	0	1	0	0	0	1																																																																																																																																
motif0031	CPSF1	8	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0.2801	0.7199	0	0	0.3745	0.6255	0	0.6243	0.3757	0	0	0	0	1	0	0	1	0																																																																																																																																
motif0032	CPSF1	8	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.3873	0.6127	1	0	0	0	1	0	0	0	1	0	0	0																																																																																																																																
motif0033	CPSF2	8	0	0	0	1	0	0	0	1	0.3904	0	0	0.6096	1	0	0	0	0	0	0	1	1	0	0	0	0.7056	0	0	0.2944	1	0	0	0																																																																																																																																
motif0034	CPSF2	10	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.3304	0.6695	1	0	0	0	0.6533	0.1944	0.1523	0	0.8629	0	0	0.1371	0.553	0	0	0.447	0.3843	0.2123	0.1797	0.2237	0.9999	0	0	0.0001																																																																																																																								
motif0035	CPSF2	10	0	0	0	1	0	0	0.2935	0.7065	0	0	0	1	0.6127	0.3839	0	0.0034	0	0	0	1	0	0	0	1	0	0.2825	0.2236	0.4939	0.5754	0	0	0.4246	0	0.3521	0	0.6479	0	0	0	1																																																																																																																								
motif0036	CPSF2	10	0	0.6897	0.3103	0	0	0.5915	0.0213	0.3871	0	0.5182	0.0254	0.4564	0	0.9998	0.0002	0	0.4011	0	0.0825	0.5164	0	0.2894	0.7106	0	0	0.7704	0.2296	0	0	1	0	0	0	0.1895	0.0283	0.7823	0	0.5654	0.4346	0																																																																																																																								
motif0037	CPSF2	10	0	1	0	0	0	0.1561	0	0.8439	0	0.9999	0.0001	0	0	0.2706	0	0.7294	0	0.5378	0.0769	0.3854	0.0002	0.5469	0	0.4529	0	0.4422	0	0.5578	0	0.5082	0	0.4918	0	0.723	0	0.277	0	0.5921	0	0.4079																																																																																																																								
motif0038	CPSF2	8	0	0	1	0	0.3069	0	0.3459	0.3471	0	0.2937	0.7063	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0.4676	0.5324	0	0	1	0																																																																																																																																
motif0039	CPSF2	8	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0.7122	0	0	0.2878	1	0	0	0	0	0.2173	0	0.7827																																																																																																																																
motif0040	CPSF2	8	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0.7122	0	0	0.2878	1	0	0	0	0	0.2173	0	0.7827																																																																																																																																
motif0041	CPSF3	10	0	0.3974	0.6026	0	0	0.6658	0.334	0.0002	0	0.5199	0.4801	0	0	0.5818	0.4182	0	0	0.5805	0.4195	0	0	0	1	0	0	0.5267	0.4733	0	0	1	0	0	0	0.1284	0.4035	0.4681	0	0.4924	0.5076	0																																																																																																																								
motif0042	CPSF3	8	0	1	0	0	0.0003	0.5156	0	0.4841	0	1	0	0	0.3881	0.1191	0	0.4928	0	0.4677	0.5323	0	0	1	0	0	0	1	0	0	0	1	0	0																																																																																																																																
motif0043	CPSF3	10	0	0	0.6343	0.3657	0	0	0.9984	0.0016	0.5272	0	0.1713	0.3015	0	0	1	0	0.2644	0.3005	0.4351	0	0.6073	0	0	0.3927	0	0	1	0	0.0001	0	0.9999	0	0.5844	0	0.2591	0.1565	0.3166	0	0.6834	0																																																																																																																								
motif0044	CPSF3	8	0	1	0	0	0.3293	0.3326	0	0.3381	0.272	0.4067	0	0.3213	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0																																																																																																																																
motif0045	CPSF4	10	0	0.6106	0.3894	0	0	0.2855	0.1496	0.5649	0	0.6534	0.3466	0	0	0.5401	0.0001	0.4599	0	0.8642	0.1358	0	0.2909	0	0.1543	0.5548	0	0.478	0.522	0	0	0.8043	0.1957	0	0	0.9997	0.0002	0	0	0.9996	0.0004	0																																																																																																																								
motif0046	CPSF4	8	0	0	1	0	0	0	1	0	0	0.477	0.523	0	0.54	0	0	0.46	0	0	1	0	0	0.1237	0.8763	0	0	0	0.5469	0.4531	0	0	1	0																																																																																																																																
motif0047	CPSF4	8	0	0	1	0	0.4867	0	0.4301	0.0832	0.4723	0	0.5277	0	0	0	1	0	1	0	0	0	0	0	1	0	0.5246	0	0.4753	0	0	0	1	0																																																																																																																																
motif0048	CPSF6	8	0	0	0	1	0	0.7138	0	0.2862	0	0	0	1	0	0	1	0	0	0	0	1	0.126	0	0.874	0	0	0	0	1	0	0.126	0.67	0.204																																																																																																																																
motif0049	CPSF6	10	0	0.3413	0.6587	0	0	0.6368	0.3632	0	0.6074	0	0.3925	0.0001	0	0.0005	0.9995	0	0	0.8436	0.1564	0	0.0002	0.323	0.2552	0.4217	0	0.4401	0.5599	0	0	0.5304	0.4696	0	0	0	0.9998	0.0001	0	0.458	0.542	0																																																																																																																								
motif0050	CPSF6	10	0	0.6291	0.3709	0	0.3896	0.3015	0	0.3089	0	1	0	0	0.5432	0	0	0.4567	0	0	1	0	0.6299	0	0.3701	0	0.001	0.0002	0.9986	0.0001	0.0001	0.6201	0.379	0.0007	0.4876	0.0042	0	0.5082	0	0.3278	0.6722	0																																																																																																																								
motif0051	CPSF6	8	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0.376	0	0.624	0	0	0	1	0	0	0.3886	0.6114																																																																																																																																
motif0052	CPSF6	8	0	0	0	1	0	0.7138	0	0.2862	0	0	0	1	0	0	1	0	0	0	0	1	0.126	0	0.874	0	0	0	0	1	0	0.126	0.67	0.204																																																																																																																																
motif0053	CPSF6	8	0	0	0	1	0	0	1	0	0.7436	0	0	0.2563	0.7276	0	0.2724	0	0	0	1	0	0.5478	0.4522	0	0	0	0	0	1	0	0	1	0																																																																																																																																
motif0054	CPSF6	8	1	0	0	0	0.3162	0	0	0.6838	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0.4274	0	0	0.5726	1	0	0	0																																																																																																																																
motif0055	CPSF6	8	0	0.8785	0	0.1215	0	1	0	0	0	0.626	0	0.374	0.2713	0	0	0.7287	0	1	0	0	0	1	0	0	0	0.5079	0	0.4921	0	1	0	0																																																																																																																																
motif0056	CPSF6	8	0	0	0	1	0	0	1	0	0	0	0	1	0.1312	0	0.8688	0	0.2765	0	0	0.7235	0	0.4776	0	0.5224	0	0	0	1	0	0	1	0																																																																																																																																
motif0057	CPSF6	10	0	1	0	0	0.3374	0.1674	0	0.4953	0	0.3148	0.4139	0.2713	0	1	0	0	0.3842	0.1571	0	0.4587	0	0	0.5651	0.4349	0	1	0	0	0.0012	0.2094	0	0.7894	0.0003	0.5211	0.4786	0	0	1	0	0																																																																																																																								
motif0058	CPSF6	15	0.0234	0.4555	0.0285	0.4926	0.0142	0.4657	0.0229	0.4971	0.0138	0.5764	0.0135	0.3963	0.0281	0.4804	0.0108	0.4808	0.0158	0.4595	0.0185	0.5062	0.011	0.5988	0.0147	0.3755	0.0256	0.4803	0.0104	0.4837	0.014	0.4795	0.0164	0.4901	0.0096	0.6069	0.0122	0.3713	0.0286	0.4541	0.0096	0.5078	0.016	0.4776	0.0209	0.4855	0.012	0.6463	0.0079	0.3338	0.0318	0.4571	0.0063	0.5048	0.0133	0.5179	0.0239	0.4449	0.02	0.6208	0.0066	0.3525																																																																																																				
motif0059	CPSF6	10	0	0	1	0	0	0.5179	0.4821	0	0.4948	0	0.0927	0.4126	0	0.0008	0.9992	0	0	0.5557	0.4443	0	0.4819	0.1073	0.0001	0.4106	0	0	1	0	0	0.5126	0.4874	0	0.4657	0.0004	0.1404	0.3934	0	0	1	0																																																																																																																								
motif0060	CPSF6	8	0.5738	0	0	0.4262	0	0	1	0	0	0.1125	0.8875	0	1	0	0	0	0	0	1	0	0.2675	0.2261	0.5065	0	0.9999	0	0	0.0001	0	0	1	0																																																																																																																																
motif0061	CPSF6	9	0.9875	0	0.0125	0	0	0	1	0	0	0.028	0.972	0	0.3697	0.3257	0.3046	0	0	1	0	0	0.7153	0.2847	0	0	0.4618	0	0.4021	0.1361	0.4446	0.0001	0.5553	0	0.0021	0.3623	0.6356	0																																																																																																																												
motif0062	CPSF6	8	0	1	0	0	0	1	0	0	0	0	0	1	0	0.5222	0.349	0.1288	0	1	0	0	0	0.2389	0	0.7611	0	0.5908	0	0.4092	0	1	0	0																																																																																																																																
motif0063	CPSF6	8	1	0	0	0	0.5417	0	0	0.4583	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0.6027	0	0	0.3973																																																																																																																																
motif0064	CPSF6	8	0	0	1	0	0	1	0	0	0.4578	0.0642	0	0.4781	0	0	1	0	0	1	0	0	0.4838	0.0192	0	0.497	0	0	1	0	0	0.6076	0.3924	0																																																																																																																																
motif0065	CPSF6	8	1	0	0	0	0.5417	0	0	0.4583	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0.6027	0	0	0.3973																																																																																																																																
motif0066	CPSF6	8	0	0	1	0	0.873	0.127	0	0	0.651	0	0.181	0.168	0	0	1	0	1	0	0	0	0.6789	0	0.1662	0.1549	0	0	1	0	1	0	0	0																																																																																																																																
motif0067	CPSF6	8	0	0.8152	0.1848	0	0.3738	0	0	0.6262	0	0	1	0	0	0	0	1	0	0	1	0	0	0.7654	0.1199	0.1148	0.3059	0	0	0.6941	0	0	1	0																																																																																																																																
motif0068	CPSF6	8	0	0.4344	0.5656	0	0	0.4871	0.5129	0	0	0.9998	0	0.0002	0	0	1	0	0	0.0008	0.9991	0.0001	0	0.993	0.007	0	0	0.2797	0.2815	0.4389	0	0	1	0																																																																																																																																
motif0069	CPSF6	10	0.9985	0	0	0.0015	0.6228	0	0	0.3772	0.1475	0	0.2967	0.5558	1	0	0	0	0.7263	0	0	0.2737	0.6249	0	0.1512	0.2239	0	0	0.3242	0.6758	0.9999	0	0	0	1	0	0	0	1	0	0	0																																																																																																																								
motif0070	CPSF6	9	0	0.7965	0.2035	0	0	0	0	1	0	0	1	0	0.3073	0	0.3841	0.3086	0.3938	0	0.2959	0.3103	0	0.3667	0.6316	0.0018	0	0.9984	0.0016	0	0.4116	0	0	0.5884	0	0	1	0																																																																																																																												
motif0071	CPSF6	8	0.3862	0	0	0.6138	0	0	0	1	0	0	0.3282	0.6718	0	0	0	1	0	0.9999	0	0.0001	0	0	0	1	0	0	0	1	0	0	0	1																																																																																																																																
motif0072	CPSF6	8	0	0.9999	0.0001	0	0.3221	0	0	0.6779	0	0	1	0	0.2089	0.5985	0.1926	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0.3778	0	0.6222																																																																																																																																
