motif	RBP	length	site1(A)	site1(C)	site1(G)	site1(U)	site2(A)	site2(C)	site2(G)	site2(U)	site3(A)	site3(C)	site3(G)	site3(U)	site4(A)	site4(C)	site4(G)	site4(U)	site5(A)	site5(C)	site5(G)	site5(U)	site6(A)	site6(C)	site6(G)	site6(U)	site7(A)	site7(C)	site7(G)	site7(U)	site8(A)	site8(C)	site8(G)	site8(U)	site9(A)	site9(C)	site9(G)	site9(U)	site10(A)	site10(C)	site10(G)	site10(U)	site11(A)	site11(C)	site11(G)	site11(U)	site12(A)	site12(C)	site12(G)	site12(U)	site13(A)	site13(C)	site13(G)	site13(U)	site14(A)	site14(C)	site14(G)	site14(U)	site15(A)	site15(C)	site15(G)	site15(U)	site16(A)	site16(C)	site16(G)	site16(U)	site17(A)	site17(C)	site17(G)	site17(U)	site18(A)	site18(C)	site18(G)	site18(U)	site19(A)	site19(C)	site19(G)	site19(U)	site20(A)	site20(C)	site20(G)	site20(U)	site21(A)	site21(C)	site21(G)	site21(U)	site22(A)	site22(C)	site22(G)	site22(U)	site23(A)	site23(C)	site23(G)	site23(U)	site24(A)	site24(C)	site24(G)	site24(U)	site25(A)	site25(C)	site25(G)	site25(U)	site26(A)	site26(C)	site26(G)	site26(U)	site27(A)	site27(C)	site27(G)	site27(U)	site28(A)	site28(C)	site28(G)	site28(U)	site29(A)	site29(C)	site29(G)	site29(U)	site30(A)	site30(C)	site30(G)	site30(U)	site31(A)	site31(C)	site31(G)	site31(U)	site32(A)	site32(C)	site32(G)	site32(U)	site33(A)	site33(C)	site33(G)	site33(U)	site34(A)	site34(C)	site34(G)	site34(U)	site35(A)	site35(C)	site35(G)	site35(U)	site36(A)	site36(C)	site36(G)	site36(U)	site37(A)	site37(C)	site37(G)	site37(U)	site38(A)	site38(C)	site38(G)	site38(U)	site39(A)	site39(C)	site39(G)	site39(U)	site40(A)	site40(C)	site40(G)	site40(U)
motif0001	ALKBH5	10	0	0.0894	0.9106	0	0.0004	0.2743	0.7253	0	0.2838	0.3626	0.353	0.0006	0.0003	0.234	0.7655	0.0002	0.0016	0.6166	0.3818	0.0001	0.0021	0.5839	0.0022	0.4118	0	0.0067	0.9933	0	0	0.2708	0.7292	0	0.2252	0.3184	0.3904	0.0661	0	0.0002	0.9998	0																																																																																																																								
motif0002	ALKBH5	8	0.9984	0	0.0016	0	0.9969	0	0.0031	0	0.9991	0	0.0001	0.0008	0.3313	0	0.6686	0	0.3739	0	0.6261	0	0.9993	0	0	0.0007	0.0029	0	0.9971	0	0.9999	0	0.0001	0																																																																																																																																
motif0003	ALKBH5	8	0.0017	0	0	0.9983	0.9976	0	0.0002	0.0022	0.0022	0	0	0.9978	0.0027	0	0	0.9973	0.0011	0	0	0.9989	0.9965	0	0	0.0035	0.0005	0	0	0.9995	0.3749	0	0	0.6251																																																																																																																																
motif0004	ALKBH5	8	0.0002	0	0.0002	0.9996	0	0	0	1	0	0	0.0005	0.9995	0.0014	0.0001	0.0011	0.9974	0	0.6061	0.3923	0.0016	0	0.0013	0	0.9988	0.0003	0.0006	0	0.9991	0.0008	0.3115	0	0.6877																																																																																																																																
motif0005	ALKBH5	8	0.0011	0	0.0004	0.9985	0	0	0	1	0	0	0.0002	0.9998	0.0013	0.0001	0.0011	0.9976	0.0001	0.9973	0.001	0.0016	0.0001	0.3837	0	0.6162	0	0.001	0.0002	0.9988	0.0011	0.3677	0	0.6313																																																																																																																																
motif0006	ALKBH5	8	0.0009	0	0	0.9991	0.0018	0.0024	0	0.9957	0.0027	0.997	0	0.0002	0.4592	0.5392	0	0.0017	0	1	0	0	1	0	0	0	0	0.2985	0.7005	0.001	0.7003	0	0	0.2997																																																																																																																																
motif0007	ALKBH5	8	0.0011	0	0.0013	0.9975	0	0	0	1	0.0001	0	0.0016	0.9983	0.0003	0	0.0001	0.9996	0.0006	0.5606	0.4361	0.0027	0	0	0	1	0.0001	0.0006	0.0013	0.998	0.0005	0.0004	0	0.9991																																																																																																																																
motif0008	ALKBH5	8	0	0.0065	0.8943	0.0991	0.3442	0.0002	0.6554	0.0003	0.0003	0.3576	0.642	0	0.1452	0.5966	0.258	0.0002	0	0.9869	0.0131	0	0.0013	0.0003	0	0.9985	0	0	1	0	0	0	1	0																																																																																																																																
motif0009	ALKBH5	8	0.0002	0	0.0013	0.9986	0	0	0	1	0.0002	0	0.0014	0.9984	0.0005	0	0.0002	0.9993	0.0001	0.5608	0.4361	0.003	0	0.0003	0	0.9996	0.0002	0.0006	0.0005	0.9987	0.0011	0.0004	0	0.9985																																																																																																																																
motif0010	ALKBH5	8	0.9993	0	0	0.0007	0.6654	0	0.3333	0.0012	0.9988	0	0.0004	0.0007	0.0049	0.9942	0.0006	0.0003	0.9984	0	0	0.0016	0.5952	0	0.4046	0.0003	0.9989	0	0.0002	0.0009	1	0	0	0																																																																																																																																
motif0011	ATXN2	10	0	0	0	1	0.0001	0	0.6513	0.3486	0	0	0	1	0.2029	0.0001	0.5698	0.2272	0	0	0	1	0.3394	0.0002	0.4726	0.1878	0	0	0	1	0.2119	0	0.3716	0.4165	0	0	0	1	0.0004	0	0.4142	0.5853																																																																																																																								
motif0012	ATXN2	8	0	0.9988	0	0.0013	0	0.9988	0	0.0012	0	0.3001	0	0.6999	0	0.8841	0	0.1159	0	0.2268	0	0.7732	0	0.5398	0	0.4602	0	0.9989	0	0.0011	0	0.8858	0	0.1142																																																																																																																																
motif0013	ATXN2	10	0	0.2905	0.7094	0.0002	0	0.9027	0.0972	0	0.0612	0.2619	0.0749	0.602	0	0.0006	0.9994	0	0.0392	0.5347	0.3537	0.0724	0.0004	0.2479	0.3787	0.373	0	0.308	0.6899	0.0021	0	0.997	0.0029	0.0001	0.0001	0.2559	0.0012	0.7427	0	0.1069	0.8931	0																																																																																																																								
motif0014	ATXN2	10	0.0002	0.0017	0.998	0	0.3663	0	0.4935	0.1402	0.0004	0	0.9996	0	0.0005	0.3591	0.6404	0	0.6262	0	0.0003	0.3735	0	0.0006	0.9994	0	0.2122	0.0001	0.7853	0.0024	0.4382	0.0001	0.4807	0.081	0.2797	0.0002	0.6659	0.0541	0.2863	0.1232	0.5905	0																																																																																																																								
motif0015	ATXN2	8	0	0.6929	0.3054	0.0018	0.0019	0	0	0.9981	0	0	0.494	0.506	0.0015	0.4781	0.5203	0.0002	0.0022	0.9976	0.0002	0	0	0	0	1	0	0	0.9994	0.0006	0.0002	0.0001	0.0001	0.9996																																																																																																																																
motif0016	ATXN2	8	0.0036	0.966	0.0132	0.0171	0.1486	0	0	0.8514	0	0	0.2724	0.7276	0.0116	0.2887	0.1322	0.5675	0.012	0.9875	0.0005	0	0	0	0	1	0	0	1	0	0	0	0	1																																																																																																																																
motif0017	ATXN2	8	0.0005	0.7877	0.0002	0.2116	0.2332	0.7664	0	0.0004	0	0.9986	0.0009	0.0005	0	1	0	0	0.408	0.0002	0	0.5918	0	0.5768	0.4226	0.0007	0	0.9986	0.0009	0.0005	0.0017	0.9963	0.0019	0																																																																																																																																
motif0018	ATXN2	8	0	0.9981	0	0.0019	0	0.9996	0	0.0004	0	0.2445	0	0.7555	0.0003	0.1704	0.29	0.5393	0	0.8049	0	0.1951	0	0.9981	0	0.0019	0	0.6472	0	0.3528	0	0.9995	0	0.0005																																																																																																																																
motif0019	ATXN2	8	0.0014	0.0002	0.32	0.6784	0	0	1	0	0.9975	0.0001	0.0016	0.0007	0.9986	0	0	0.0014	0	0	1	0	0.5767	0.4221	0.0008	0.0004	0.354	0.0009	0.0007	0.6443	0	0	1	0																																																																																																																																
motif0020	CAPRIN1	10	0	0.1183	0.8817	0	0.0994	0.1884	0.7103	0.0019	0.0002	0.0357	0.9639	0.0002	0.0001	0.4111	0.5888	0	0.1199	0.5647	0.0013	0.3141	0	0.3772	0.6227	0.0001	0.0001	0.4736	0.5251	0.0013	0.0812	0.3538	0.4532	0.1118	0	0.002	0.9978	0.0002	0	0.2904	0.7096	0																																																																																																																								
motif0021	CAPRIN1	8	0.5486	0	0.4514	0	0	0	1	0	0.4677	0.0581	0.4742	0	1	0	0	0	0	0	1	0	0.4309	0.0025	0.5469	0.0197	0.0084	0	0.9778	0.0138	0.0144	0	0.9853	0.0002																																																																																																																																
motif0022	CAPRIN1	7	0	0	1	0	0.9975	0.0001	0.0024	0	0.9984	0	0.0008	0.0008	0	0.0001	0.9999	0	0.0021	0.8799	0.1179	0	0.4577	0	0.0004	0.542	0	0	1	0																																																																																																																																				
motif0023	CAPRIN1	8	0.0019	0.9963	0.0008	0.001	0	1	0	0	0.2605	0.404	0.0008	0.3347	0	0.9954	0.0046	0	0.4346	0	0.0016	0.5638	0	0.0005	0.9995	0	0.0021	0.6794	0.3185	0	0	0.9995	0.0005	0																																																																																																																																
motif0024	CAPRIN1	8	0.148	0	0.4487	0.4034	0	0	1	0	0.6855	0	0.3145	0	0.9975	0	0.0021	0.0004	0	0	1	0	0.0079	0.979	0.0131	0	0.3342	0	0.0034	0.6624	0	0	1	0																																																																																																																																
motif0025	CAPRIN1	8	0.0012	0	0.5849	0.4139	0.0003	0.002	0.9975	0.0002	0.5018	0.0007	0.3797	0.1178	0	0.9971	0.0029	0	0.998	0	0	0.002	0	0	1	0	0.7491	0	0	0.2509	0	0.0001	0.9996	0.0003																																																																																																																																
motif0026	CAPRIN1	8	0.1884	0	0.0049	0.8068	0	0	1	0	0.9895	0.002	0.0084	0	1	0	0	0	0	0	1	0	0.2103	0.482	0.3077	0	0.3196	0.001	0.0044	0.675	0.0017	0	0.9983	0																																																																																																																																
motif0027	CAPRIN1	8	0.303	0	0.697	0	0	0	1	0	0.3421	0.2154	0.4423	0.0002	0.9988	0.0002	0.0007	0.0003	0.0001	0.0003	0.9996	0	0.0016	0.0007	0.745	0.2527	0	0.0002	0.999	0.0008	0.0014	0	0.9973	0.0013																																																																																																																																
motif0028	CPSF1	8	0	0	0	1	0.0011	0	0.0013	0.9975	0	0	0	1	0.4896	0.5062	0.0004	0.0039	0	0	0	1	0.0015	0	0.0008	0.9977	0.0001	0	0	0.9999	0.0001	0	0	0.9999																																																																																																																																
motif0029	CPSF1	8	0	0	0.2842	0.7158	0.0004	0	0.3985	0.601	0	0.6913	0.3087	0	0	0	0	1	0	0	1	0	0.0008	0	0.0013	0.9979	0.0004	0	0.997	0.0025	0	0	0.0019	0.998																																																																																																																																
motif0030	CPSF1	8	0	0	0	1	0.0027	0	0	0.9973	0.0014	0	0.9964	0.0022	0.0007	0.6627	0	0.3366	0.0013	0	0	0.9987	0.0008	0.5674	0.001	0.4309	0.0005	0	0	0.9994	0	0	0	1																																																																																																																																
motif0031	CPSF1	8	0	0.0008	0.0022	0.997	0	0	1	0	0.0011	0.0001	0.0018	0.997	0	0.0013	0.3924	0.6063	0	0.0006	0.3487	0.6506	0	0.8266	0.1734	0	0	0	0	1	0	0	1	0																																																																																																																																
motif0032	CPSF1	8	0.9996	0	0.0002	0.0002	0.998	0	0	0.002	0.9988	0	0	0.0012	0.9974	0	0	0.0026	0.003	0.001	0.5063	0.4898	0.9982	0	0	0.0018	0.9984	0	0.0003	0.0013	1	0	0	0																																																																																																																																
motif0033	CPSF2	8	0.0025	0	0	0.9975	0.0019	0	0	0.9981	0.3452	0	0	0.6548	0.998	0	0	0.002	0.0011	0	0	0.9989	0.999	0	0	0.001	0.6988	0.0003	0	0.3009	0.998	0	0	0.002																																																																																																																																
motif0034	CPSF2	10	0.9998	0	0	0.0002	0.9983	0	0.0002	0.0015	1	0	0	0	0.0055	0.0002	0.411	0.5834	0.9999	0	0	0.0001	0.6775	0.1831	0.1392	0.0002	0.7985	0	0	0.2015	0.6044	0	0	0.3956	0.4107	0.1997	0.1606	0.229	0.9725	0	0	0.0275																																																																																																																								
motif0035	CPSF2	10	0.0001	0	0	0.9999	0.001	0	0.3241	0.6749	0	0	0	1	0.4349	0.4973	0.0014	0.0664	0.0004	0.0005	0	0.9991	0.0012	0	0.0001	0.9987	0.0055	0.3877	0.2282	0.3786	0.4146	0.0001	0	0.5853	0.0001	0.4158	0.0115	0.5727	0.0004	0	0	0.9996																																																																																																																								
motif0036	CPSF2	10	0	0.6386	0.3613	0.0001	0.0001	0.7442	0.1341	0.1216	0.0003	0.7993	0.0817	0.1187	0.0002	0.9659	0.0338	0.0001	0.3563	0.0079	0.2196	0.4162	0	0.1586	0.8414	0	0.0001	0.8367	0.1627	0.0006	0	0.9978	0.0021	0.0001	0.0002	0.3556	0.1019	0.5424	0	0.5857	0.4142	0.0001																																																																																																																								
motif0037	CPSF2	10	0	0.9997	0.0002	0.0001	0.0002	0.2009	0	0.799	0	0.9714	0.0286	0	0.0003	0.2838	0.0007	0.7151	0	0.699	0.1234	0.1777	0.0398	0.4235	0	0.5367	0.0004	0.4396	0.0001	0.5599	0	0.7053	0	0.2947	0.0002	0.6991	0	0.3007	0.0003	0.7079	0.0005	0.2913																																																																																																																								
motif0038	CPSF2	8	0.0014	0.0048	0.9939	0	0.2266	0.0008	0.4344	0.3381	0.0001	0.4649	0.5348	0.0002	0	0.9988	0.0013	0	0.0003	0	0.0004	0.9993	0	0.0001	0.9999	0	0	0.0002	0.7459	0.2538	0.0002	0	0.9998	0																																																																																																																																
motif0039	CPSF2	8	0.9973	0.0002	0	0.0025	0.9976	0.0009	0	0.0015	0.9997	0	0	0.0003	0.0008	0.0002	0	0.999	1	0	0	0	0.6793	0.0014	0	0.3193	0.9983	0	0	0.0017	0.0023	0.2087	0	0.789																																																																																																																																
motif0040	CPSF2	8	0.9973	0.0002	0	0.0025	0.9976	0.0009	0	0.0015	0.9997	0	0	0.0003	0.0008	0.0002	0	0.999	1	0	0	0	0.6793	0.0014	0	0.3193	0.9983	0	0	0.0017	0.0023	0.2087	0	0.789																																																																																																																																
motif0041	CPSF3	10	0	0.4527	0.5472	0.0001	0.0014	0.6144	0.3301	0.0541	0.0009	0.4889	0.5099	0.0002	0.0012	0.542	0.4566	0.0002	0.0005	0.4118	0.5855	0.0022	0.0012	0.0026	0.9955	0.0007	0.0001	0.5191	0.4789	0.002	0	0.9967	0.0033	0	0.0007	0.1029	0.5582	0.3381	0	0.3483	0.6517	0																																																																																																																								
motif0042	CPSF3	8	0	1	0	0	0.0768	0.6272	0	0.296	0	1	0	0	0.3824	0.0766	0	0.541	0	0.5001	0.4983	0.0016	0.0023	0.9948	0.0015	0.0014	0	0.9999	0.0001	0	0	0.9989	0	0.0011																																																																																																																																
motif0043	CPSF3	10	0.0002	0	0.6242	0.3757	0	0	0.8552	0.1448	0.2542	0	0.53	0.2158	0.0017	0.0002	0.998	0	0.1906	0.3682	0.4409	0.0002	0.5167	0.0001	0	0.4833	0.0005	0	0.9974	0.002	0.0323	0	0.9674	0.0003	0.3031	0	0.5336	0.1633	0.1827	0	0.8171	0.0002																																																																																																																								
motif0044	CPSF3	8	0.0007	0.9992	0	0.0001	0.2257	0.5083	0.0001	0.2659	0.174	0.5429	0	0.2831	0	1	0	0	0.9994	0	0	0.0006	0	0.9978	0.001	0.0012	0.001	0.9978	0.0005	0.0007	0.0018	0.9975	0	0.0008																																																																																																																																
motif0045	CPSF4	10	0	0.5568	0.4431	0.0001	0	0.3723	0.3119	0.3159	0	0.771	0.229	0	0.0007	0.8479	0.0153	0.136	0	0.8485	0.1513	0.0002	0.1998	0.0002	0.3407	0.4593	0	0.4992	0.5007	0.0001	0.0009	0.8045	0.193	0.0016	0.0001	0.9491	0.0472	0.0037	0	0.9469	0.053	0.0002																																																																																																																								
motif0046	CPSF4	8	0.0002	0.0013	0.998	0.0005	0	0.0007	0.9988	0.0006	0	0.3807	0.6191	0.0001	0.5614	0.0009	0.001	0.4367	0	0.0007	0.9993	0	0.0011	0.1091	0.8898	0	0.0002	0.0002	0.7245	0.2752	0	0	1	0																																																																																																																																
motif0047	CPSF4	8	0	0	1	0	0.3348	0.0005	0.5351	0.1295	0.3305	0	0.6695	0	0	0.0001	0.9999	0	1	0	0	0	0.0015	0.002	0.9965	0	0.4062	0.0014	0.5923	0	0.0024	0.0006	0.9969	0.0001																																																																																																																																
motif0048	CPSF6	8	0	0	0	1	0.0017	0.7712	0.0034	0.2236	0	0	0	1	0	0.0013	0.9987	0	0	0	0	1	0.1236	0.0001	0.8756	0.0007	0.0011	0	0	0.9989	0	0.1881	0.5803	0.2316																																																																																																																																
motif0049	CPSF6	10	0.0002	0.5045	0.4953	0	0.0002	0.654	0.3458	0	0.2641	0.0081	0.7005	0.0273	0	0.0763	0.9227	0.001	0	0.6627	0.3365	0.0008	0.0307	0.6201	0.195	0.1542	0	0.4664	0.532	0.0017	0.0003	0.6165	0.3824	0.0008	0.001	0.0091	0.9549	0.035	0	0.2441	0.7559	0																																																																																																																								
motif0050	CPSF6	10	0	0.7779	0.2211	0.0009	0.1748	0.687	0.0008	0.1375	0	0.9942	0.0058	0	0.5527	0.0064	0.0084	0.4325	0	0	1	0	0.3201	0.001	0.6781	0.0008	0.0807	0.0334	0.8631	0.0228	0.0162	0.6418	0.2697	0.0724	0.3031	0.1174	0.0005	0.5791	0	0.2662	0.7338	0																																																																																																																								
motif0051	CPSF6	8	0	0	0	1	0	0	0.9975	0.0025	0	0	0	1	0.9968	0	0.0014	0.0018	0.9983	0.0011	0.0003	0.0003	0	0.3881	0	0.6119	0.0012	0	0	0.9988	0	0	0.3877	0.6123																																																																																																																																
motif0052	CPSF6	8	0	0	0	1	0.0017	0.7712	0.0034	0.2236	0	0	0	1	0	0.0013	0.9987	0	0	0	0	1	0.1235	0.0001	0.8757	0.0007	0.0011	0	0	0.9989	0	0.1881	0.5802	0.2316																																																																																																																																
motif0053	CPSF6	8	0.0008	0	0	0.9992	0	0	1	0	0.7749	0	0.0008	0.2244	0.6546	0	0.3438	0.0016	0.0029	0	0.9971	0	0.5486	0.4509	0.0005	0	0.0023	0	0	0.9977	0	0	0.9999	0.0001																																																																																																																																
motif0054	CPSF6	8	0.9917	0.0069	0.0014	0	0.3379	0.0025	0.0003	0.6594	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0.378	0.007	0	0.6149	0.9895	0.003	0	0.0074																																																																																																																																
motif0055	CPSF6	8	0	0.8539	0.0004	0.1457	0	0.998	0	0.002	0	0.6765	0	0.3235	0.3289	0.0007	0	0.6703	0	0.9971	0.0009	0.0019	0	0.9965	0.0007	0.0028	0	0.6421	0	0.3579	0	0.9995	0	0.0005																																																																																																																																
motif0056	CPSF6	8	0	0	0	1	0	0	0.9995	0.0005	0	0	0	1	0.2738	0	0.7249	0.0013	0.2948	0.0002	0.0004	0.7047	0.0007	0.7281	0.0016	0.2695	0.0001	0	0	0.9999	0	0	0.9967	0.0033																																																																																																																																
motif0057	CPSF6	10	0	0.9942	0.0058	0	0.2273	0.3562	0.0006	0.4158	0	0.4614	0.4393	0.0993	0	1	0	0	0.3116	0.2171	0.0076	0.4638	0.0005	0.0026	0.67	0.3269	0.001	0.9982	0.0001	0.0006	0.0618	0.504	0.0013	0.4328	0.0552	0.6479	0.2958	0.0011	0	0.9992	0.0004	0.0004																																																																																																																								
motif0058	CPSF6	15	0.0292	0.3606	0.0366	0.5736	0.0109	0.472	0.037	0.4801	0.0123	0.6073	0.0096	0.3708	0.0269	0.4953	0.0095	0.4683	0.0135	0.4036	0.0156	0.5673	0.0074	0.6231	0.0134	0.3562	0.0275	0.4544	0.0072	0.5109	0.0111	0.4852	0.0248	0.4789	0.0085	0.6253	0.0087	0.3575	0.041	0.4381	0.0096	0.5114	0.0131	0.5011	0.0265	0.4593	0.0131	0.6928	0.0065	0.2876	0.0298	0.4215	0.0059	0.5429	0.0138	0.5201	0.0303	0.4358	0.0116	0.701	0.0073	0.2801																																																																																																				
motif0059	CPSF6	10	0	0	1	0	0.0001	0.2626	0.737	0.0003	0.5334	0.0006	0.2644	0.2016	0	0.1097	0.8902	0	0.0006	0.5992	0.4001	0.0001	0.4809	0.1097	0.0194	0.3901	0	0.0001	0.9998	0.0001	0.0001	0.2783	0.7217	0	0.4446	0.0425	0.2801	0.2328	0	0	1	0																																																																																																																								
motif0060	CPSF6	8	0.4397	0	0.0006	0.5596	0	0	1	0	0.0008	0.121	0.8781	0.0001	0.9995	0	0	0.0005	0	0.0001	0.9999	0	0.2703	0.2587	0.471	0	0.9853	0	0	0.0147	0	0	1	0																																																																																																																																
motif0061	CPSF6	9	0.8875	0	0.1123	0.0001	0	0.0024	0.9976	0	0.0014	0.0811	0.9175	0	0.1875	0.4094	0.4029	0.0002	0.0003	0.9997	0	0	0.709	0.2899	0.0011	0	0.3301	0.0005	0.5646	0.1048	0.2393	0.0232	0.7375	0	0.0387	0.2029	0.7584	0																																																																																																																												
motif0062	CPSF6	8	0	0.9982	0.0007	0.001	0	1	0	0	0.0009	0.0011	0	0.998	0.0054	0.4713	0.3629	0.1605	0	0.9998	0	0.0002	0.0007	0.5352	0.0006	0.4635	0.0005	0.5703	0	0.4292	0	0.9997	0.0003	0																																																																																																																																
motif0063	CPSF6	8	0.9963	0.0019	0.0018	0	0.5591	0	0	0.4409	0	0	1	0	0.9996	0	0.0004	0	0.9984	0	0	0.0016	0	0	1	0	0.9992	0	0.0008	0	0.6449	0.0015	0.0001	0.3534																																																																																																																																
motif0064	CPSF6	8	0.0002	0.0019	0.9979	0	0	0.9986	0.0014	0	0.4842	0.1935	0.0004	0.3218	0	0.0004	0.9996	0	0	0.9987	0.0013	0	0.3858	0.1984	0.0006	0.4152	0.0001	0.0002	0.9998	0	0.0003	0.8251	0.1746	0																																																																																																																																
motif0065	CPSF6	8	0.9968	0.002	0.0012	0	0.5597	0	0	0.4403	0	0	1	0	0.9996	0	0.0004	0	0.9984	0	0	0.0016	0	0	1	0	0.9991	0	0.0009	0	0.6456	0.0009	0	0.3535																																																																																																																																
motif0066	CPSF6	8	0.0003	0.0007	0.999	0	0.8616	0.1378	0.0006	0	0.6584	0	0.2064	0.1351	0	0	1	0	0.9999	0	0.0001	0	0.6756	0	0.1853	0.1391	0	0	1	0	0.9992	0	0.0008	0																																																																																																																																
motif0067	CPSF6	8	0.0011	0.7985	0.1987	0.0017	0.3751	0	0	0.6249	0	0	1	0	0.0051	0	0.0005	0.9944	0.0062	0.0002	0.9937	0	0	0.7513	0.134	0.1147	0.2473	0.0006	0	0.7521	0.0031	0.0028	0.9935	0.0006																																																																																																																																
motif0068	CPSF6	8	0.0003	0.3989	0.6006	0.0003	0.001	0.1136	0.8854	0	0	0.9526	0.0047	0.0428	0.0003	0.0111	0.9879	0.0008	0.0047	0.0977	0.8809	0.0167	0.0054	0.8579	0.1366	0	0	0.5043	0.3528	0.1429	0	0.0028	0.9972	0																																																																																																																																
