human gene	zebrafish gene	human transcript	zebrafish transcript	motif-pattern similarity score	gap penalty score
ENSG00000235919	XLOC_033947_zbf	ENST00000456633	TCONS_00095692_zbf	8.972	34.756
ENSG00000228939	XLOC_028736_zbf	ENST00000417120	TCONS_00081006_zbf	3.501	25.41
ENSG00000248019	XLOC_001716_zbf	ENST00000500765	TCONS_00005266_zbf	5.888	31.046
ENSG00000272070	XLOC_030092_zbf	ENST00000606901	TCONS_00084897_zbf	6.953	142.376
ENSG00000232184	XLOC_027912_zbf	ENST00000453572	TCONS_00078699_zbf	4.834	6.964
ENSG00000278969	XLOC_010024_zbf	ENST00000625186	TCONS_00027088_zbf	5.725	27.249
ENSG00000266980	XLOC_026625_zbf	ENST00000586808	TCONS_00074989_zbf	4.558	106.124
ENSG00000279050	XLOC_016395_zbf	ENST00000624188	TCONS_00044826_zbf	3.91	14.468
ENSG00000268362	XLOC_044056_zbf	ENST00000594934	TCONS_00125316_zbf	6.545	38.603
ENSG00000270605	XLOC_033158_zbf	ENST00000604716	TCONS_00093652_zbf	6.063	20.96
ENSG00000260360	XLOC_019448_zbf	ENST00000567904	TCONS_00053646_zbf	8.111	99.619
ENSG00000236740	XLOC_028583_zbf	ENST00000511369	TCONS_00080549_zbf	5.104	16.917
ENSG00000259006	XLOC_017713_zbf	ENST00000554623	TCONS_00048831_zbf	3.328	31.005
ENSG00000235531	XLOC_046688_zbf	ENST00000518916	TCONS_00133506_zbf	5.057	49.884
ENSG00000279726	XLOC_030092_zbf	ENST00000624176	TCONS_00084897_zbf	5.744	42.018
ENSG00000279145	XLOC_036288_zbf	ENST00000623483	TCONS_00102496_zbf	5.625	24.054
ENSG00000279220	XLOC_015988_zbf	ENST00000623040	TCONS_00043781_zbf	11.362	61.654
ENSG00000279036	XLOC_004770_zbf	ENST00000624209	TCONS_00014151_zbf	6.004	30.619
ENSG00000268416	XLOC_043230_zbf	ENST00000593903	TCONS_00122736_zbf	4.725	44.082
ENSG00000257453	XLOC_006876_zbf	ENST00000552367	TCONS_00020481_zbf	10.336	41.704
ENSG00000254622	XLOC_017078_zbf	ENST00000532874	TCONS_00052914_zbf	5.657	27.444
ENSG00000226950	XLOC_039857_zbf	ENST00000411630	TCONS_00112606_zbf	4.628	23.414
ENSG00000274565	XLOC_004746_zbf	ENST00000611274	TCONS_00014078_zbf	5.058	20.253
ENSG00000236668	XLOC_042569_zbf	ENST00000453529	TCONS_00120013_zbf	6.285	46.653
ENSG00000237741	XLOC_029625_zbf	ENST00000456981	TCONS_00083698_zbf	4.597	50.515
ENSG00000235529	XLOC_016033_zbf	ENST00000440498	TCONS_00043946_zbf	3.606	19.799
ENSG00000232098	XLOC_044056_zbf	ENST00000593393	TCONS_00125316_zbf	5.562	62.876
ENSG00000269609	XLOC_028189_zbf	ENST00000596045	TCONS_00079525_zbf	7.275	26.809
ENSG00000204055	XLOC_013603_zbf	ENST00000372490	TCONS_00036247_zbf	8.063	66.862
ENSG00000233611	XLOC_021626_zbf	ENST00000415226	TCONS_00059674_zbf	3.994	14.186
ENSG00000224189	XLOC_021299_zbf	ENST00000416928	TCONS_00058806_zbf	9.235	75.728
ENSG00000239322	XLOC_017291_zbf	ENST00000447639	TCONS_00047592_zbf	3.563	112.861
ENSG00000203258	XLOC_017835_zbf	ENST00000454086	TCONS_00049139_zbf	5.252	33.788
ENSG00000279917	XLOC_005009_zbf	ENST00000623462	TCONS_00014838_zbf	10.271	39.613
ENSG00000279481	XLOC_001513_zbf	ENST00000623323	TCONS_00004646_zbf	5.013	57.493
ENSG00000224596	XLOC_028197_zbf	ENST00000456353	TCONS_00079555_zbf	5.205	59.856
ENSG00000250033	XLOC_029889_zbf	ENST00000512786	TCONS_00084361_zbf	8.168	35.761
ENSG00000251442	XLOC_014230_zbf	ENST00000503539	TCONS_00038326_zbf	5.036	50.359
ENSG00000225493	XLOC_022779_zbf	ENST00000446979	TCONS_00062858_zbf	9.096	58.17
ENSG00000259603	XLOC_033575_zbf	ENST00000559410	TCONS_00094667_zbf	3.914	12.543
ENSG00000250751	XLOC_026547_zbf	ENST00000512720	TCONS_00074737_zbf	6.763	117.466
ENSG00000261595	XLOC_016548_zbf	ENST00000566195	TCONS_00045269_zbf	4.485	38.749
ENSG00000254300	XLOC_047408_zbf	ENST00000518732	TCONS_00135513_zbf	5.799	45.288
ENSG00000254081	XLOC_047431_zbf	ENST00000520902	TCONS_00135606_zbf	3.637	44.2
ENSG00000260905	XLOC_005006_zbf	ENST00000566098	TCONS_00014825_zbf	5.608	52.185
ENSG00000264019	XLOC_006142_zbf	ENST00000582142	TCONS_00017829_zbf	4.934	22.55
ENSG00000250977	XLOC_030659_zbf	ENST00000506232	TCONS_00086487_zbf	5.602	39.527
ENSG00000259673	XLOC_037353_zbf	ENST00000559298	TCONS_00105436_zbf	4.464	112.841
ENSG00000233427	XLOC_038991_zbf	ENST00000418471	TCONS_00110039_zbf	4.155	41.27
ENSG00000236389	XLOC_045394_zbf	ENST00000447557	TCONS_00129417_zbf	5.255	46.751
ENSG00000267092	XLOC_043592_zbf	ENST00000590252	TCONS_00123981_zbf	6.033	52.069
ENSG00000253416	XLOC_046789_zbf	ENST00000519660	TCONS_00133775_zbf	3.452	35.231
ENSG00000248441	XLOC_037402_zbf	ENST00000555332	TCONS_00105545_zbf	3.922	16.748
ENSG00000225446	XLOC_016232_zbf	ENST00000425185	TCONS_00044320_zbf	4.679	184.818
ENSG00000261669	XLOC_005005_zbf	ENST00000568895	TCONS_00014816_zbf	3.673	42.289
ENSG00000269941	XLOC_022625_zbf	ENST00000602481	TCONS_00062494_zbf	5.929	45.858
ENSG00000251632	XLOC_029889_zbf	ENST00000507365	TCONS_00084373_zbf	8.438	19.669
ENSG00000261291	XLOC_018679_zbf	ENST00000568648	TCONS_00051300_zbf	4.493	60.198
ENSG00000264125	XLOC_032156_zbf	ENST00000581633	TCONS_00090717_zbf	4.48	57.988
ENSG00000223525	XLOC_043539_zbf	ENST00000414890	TCONS_00123828_zbf	8.822	86.754
ENSG00000248538	XLOC_042721_zbf	ENST00000417333	TCONS_00120500_zbf	3.906	36.478
ENSG00000230749	XLOC_027836_zbf	ENST00000439433	TCONS_00078512_zbf	5.162	53.608
ENSG00000232648	XLOC_001543_zbf	ENST00000457303	TCONS_00004725_zbf	6.884	63.262
ENSG00000250786	XLOC_046718_zbf	ENST00000508179	TCONS_00133585_zbf	9.622	59.064
ENSG00000274021	XLOC_048128_zbf	ENST00000611513	TCONS_00137759_zbf	3.674	45.7
ENSG00000272593	XLOC_042636_zbf	ENST00000609303	TCONS_00120255_zbf	3.949	12.832
ENSG00000230102	XLOC_025862_zbf	ENST00000432154	TCONS_00072599_zbf	3.628	55.747
ENSG00000246174	XLOC_030958_zbf	ENST00000500113	TCONS_00087516_zbf	7.37	35.414
ENSG00000274253	XLOC_015388_zbf	ENST00000619611	TCONS_00042033_zbf	6.201	32.729
ENSG00000262251	XLOC_017194_zbf	ENST00000571370	TCONS_00047260_zbf	5.147	17.861
ENSG00000249984	XLOC_014377_zbf	ENST00000503489	TCONS_00038942_zbf	4.256	37.984
ENSG00000242125	XLOC_038113_zbf	ENST00000413987	TCONS_00107791_zbf	4.722	16.472
ENSG00000116652	XLOC_016323_zbf	ENST00000371086	TCONS_00044622_zbf	3.507	15.927
ENSG00000233429	XLOC_032895_zbf	ENST00000593300	TCONS_00092994_zbf	3	17.205
ENSG00000237174	XLOC_036179_zbf	ENST00000628384	TCONS_00101940_zbf	7.381	19.487
ENSG00000236053	XLOC_021404_zbf	ENST00000432575	TCONS_00059079_zbf	5.716	41.037
ENSG00000280092	XLOC_017877_zbf	ENST00000623314	TCONS_00049242_zbf	6.603	19.541
ENSG00000258170	XLOC_009911_zbf	ENST00000552532	TCONS_00026646_zbf	4.968	35.265
ENSG00000203709	XLOC_046211_zbf	ENST00000608023	TCONS_00131862_zbf	5.53	59.141
ENSG00000280076	XLOC_023097_zbf	ENST00000624819	TCONS_00063932_zbf	7.416	43.943
ENSG00000277559	XLOC_018679_zbf	ENST00000616682	TCONS_00051298_zbf	5.432	62.455
ENSG00000248115	XLOC_039862_zbf	ENST00000510351	TCONS_00112655_zbf	3.452	54.888
ENSG00000236920	XLOC_034132_zbf	ENST00000418652	TCONS_00096328_zbf	4	38.388
ENSG00000267204	XLOC_018836_zbf	ENST00000591212	TCONS_00051733_zbf	4.443	18.875
ENSG00000239946	XLOC_047383_zbf	ENST00000498630	TCONS_00135425_zbf	4.791	64.819
ENSG00000261386	XLOC_036626_zbf	ENST00000605277	TCONS_00103402_zbf	7.21	38.976
ENSG00000247982	XLOC_017672_zbf	ENST00000620766	TCONS_00048691_zbf	7	13.256
ENSG00000225174	XLOC_041067_zbf	ENST00000441184	TCONS_00115782_zbf	5.757	40.904
ENSG00000223597	XLOC_039206_zbf	ENST00000500616	TCONS_00110654_zbf	3.529	45.786
ENSG00000267493	XLOC_025595_zbf	ENST00000585832	TCONS_00071738_zbf	4.265	49.704
ENSG00000259926	XLOC_018686_zbf	ENST00000565073	TCONS_00051312_zbf	3.64	93.427
ENSG00000259330	XLOC_041000_zbf	ENST00000560415	TCONS_00115604_zbf	3.87	104.391
ENSG00000231156	XLOC_028728_zbf	ENST00000423433	TCONS_00080975_zbf	8.171	108.405
ENSG00000235140	XLOC_026265_zbf	ENST00000450677	TCONS_00073867_zbf	3.59	59.072
ENSG00000241388	XLOC_012632_zbf	ENST00000535301	TCONS_00033064_zbf	4.987	23.452
ENSG00000274128	XLOC_037434_zbf	ENST00000616099	TCONS_00105651_zbf	3.823	20.314
ENSG00000250354	XLOC_001513_zbf	ENST00000514843	TCONS_00004645_zbf	3.605	45.402
ENSG00000261216	XLOC_026428_zbf	ENST00000562802	TCONS_00074269_zbf	5.104	36.313
ENSG00000274215	XLOC_023107_zbf	ENST00000614509	TCONS_00063968_zbf	4.746	45.703
