human gene	mouse gene	human transcript	mouse transcript	with homologs in cow	with homologs in opossum	with homologs in chicken	with homologs in lizard	with homologs in frog	with homologs in zebrafish	motif score 	gap score
ENSG00000224511	ENSMUSG00000085237	ENST00000413591	ENSMUST00000133694	0	0	0	0	0	0	4.928	27.14
ENSG00000230498	ENSMUSG00000105337	ENST00000454305	ENSMUST00000198047	1	0	0	0	1	0	5.306	43.158
ENSG00000279996	ENSMUSG00000106758	ENST00000623029	ENSMUST00000201839	1	1	0	1	1	0	5.66	6.34
ENSG00000270959	ENSMUSG00000097867	ENST00000605573	ENSMUST00000181640	0	0	0	0	0	0	6.803	11.551
ENSG00000248050	ENSMUSG00000097102	ENST00000499579	ENSMUST00000181839	0	0	0	0	0	0	3.236	36.538
ENSG00000261273	ENSMUSG00000093682	ENST00000563190	ENSMUST00000176061	0	0	0	0	0	0	3.927	10.392
ENSG00000279733	ENSMUSG00000109244	ENST00000624727	ENSMUST00000208302	0	1	0	0	0	0	4.827	18.606
ENSG00000249669	ENSMUSG00000097324	ENST00000614896	ENSMUST00000182244	1	1	0	1	0	0	7.937	11.16
ENSG00000228852	ENSMUSG00000106329	ENST00000624135	ENSMUST00000199790	0	0	0	0	0	0	3.438	45.306
ENSG00000259974	ENSMUSG00000084774	ENST00000564492	ENSMUST00000127688	1	0	0	0	1	0	3.465	47.424
ENSG00000258869	ENSMUSG00000085820	ENST00000557296	ENSMUST00000135423	0	0	0	0	0	0	3.58	64.174
ENSG00000236340	ENSMUSG00000107377	ENST00000413812	ENSMUST00000202562	0	0	0	1	0	0	6.396	63.776
ENSG00000255246	ENSMUSG00000097644	ENST00000527364	ENSMUST00000181886	0	0	0	0	0	0	5.389	20.736
ENSG00000257913	ENSMUSG00000097587	ENST00000547866	ENSMUST00000180490	0	0	0	0	0	0	3.197	25.495
ENSG00000237125	ENSMUSG00000109908	ENST00000503198	ENSMUST00000211191	0	0	0	0	0	0	3.591	10.677
ENSG00000242791	ENSMUSG00000104586	ENST00000323689	ENSMUST00000197200	0	0	0	0	0	0	3.603	21.205
ENSG00000236053	ENSMUSG00000096938	ENST00000432575	ENSMUST00000181315	1	1	0	1	1	1	10.677	43.388
ENSG00000271811	ENSMUSG00000103195	ENST00000606154	ENSMUST00000192190	1	1	1	1	0	0	14.529	4.713
ENSG00000260279	ENSMUSG00000099881	ENST00000563087	ENSMUST00000186531	0	0	0	0	0	0	3.711	30.474
ENSG00000249697	ENSMUSG00000086402	ENST00000504349	ENSMUST00000142621	0	0	0	0	0	0	3.034	62.306
ENSG00000267044	ENSMUSG00000108942	ENST00000591432	ENSMUST00000207134	0	0	0	0	0	0	4.347	43.626
ENSG00000245857	ENSMUSG00000109784	ENST00000500823	ENSMUST00000209494	0	0	0	0	0	0	4.702	30.253
ENSG00000277558	ENSMUSG00000109877	ENST00000618799	ENSMUST00000209333	0	0	0	0	0	0	3.675	10.724
ENSG00000226872	ENSMUSG00000097764	ENST00000450652	ENSMUST00000181077	1	1	1	0	1	0	6.514	45.195
ENSG00000248587	ENSMUSG00000103142	ENST00000637926	ENSMUST00000194645	0	0	0	0	0	0	3.193	40.431
ENSG00000250334	ENSMUSG00000097516	ENST00000508174	ENSMUST00000181724	0	0	0	0	0	0	3.765	120.414
ENSG00000258957	ENSMUSG00000097801	ENST00000554898	ENSMUST00000181852	1	1	0	0	1	0	6.271	40.509
ENSG00000272631	ENSMUSG00000090779	ENST00000608826	ENSMUST00000171248	1	1	0	1	1	0	8.518	26.968
ENSG00000261396	ENSMUSG00000098120	ENST00000567122	ENSMUST00000182863	1	0	0	0	0	0	5.053	50.726
ENSG00000279078	ENSMUSG00000092090	ENST00000623342	ENSMUST00000164104	0	0	0	0	0	0	3.465	4.655
ENSG00000231754	ENSMUSG00000086363	ENST00000447728	ENSMUST00000146336	1	0	0	0	0	0	8.843	5.011
ENSG00000237212	ENSMUSG00000097101	ENST00000432783	ENSMUST00000185652	0	0	0	0	1	0	4.219	10.747
ENSG00000270022	ENSMUSG00000097301	ENST00000602478	ENSMUST00000181049	0	0	0	0	0	0	3.535	32.787
ENSG00000205037	ENSMUSG00000097969	ENST00000378417	ENSMUST00000183009	1	1	0	0	0	1	5.116	29.668
ENSG00000255160	ENSMUSG00000085995	ENST00000528326	ENSMUST00000129551	0	0	0	0	0	0	4.598	50.46
ENSG00000229774	ENSMUSG00000101179	ENST00000421820	ENSMUST00000186504	1	0	0	0	0	0	6.732	19.109
ENSG00000279913	ENSMUSG00000099146	ENST00000624114	ENSMUST00000185046	0	1	0	0	1	0	5.213	29.591
ENSG00000239213	ENSMUSG00000103657	ENST00000461864	ENSMUST00000192389	0	0	0	0	0	0	3.713	30.042
ENSG00000272108	ENSMUSG00000073590	ENST00000606030	ENSMUST00000192137	1	1	0	0	1	0	5.434	23.332
ENSG00000234177	ENSMUSG00000060424	ENST00000424321	ENSMUST00000177136	0	0	0	0	0	0	3.248	9.849
ENSG00000258908	ENSMUSG00000103730	ENST00000554678	ENSMUST00000194838	0	0	0	0	0	0	4.888	0
ENSG00000271434	ENSMUSG00000109270	ENST00000440536	ENSMUST00000207036	1	1	1	1	0	1	10.302	27.333
ENSG00000268798	ENSMUSG00000097013	ENST00000594262	ENSMUST00000181265	1	1	1	0	1	1	13.901	22.811
ENSG00000260305	ENSMUSG00000052629	ENST00000569588	ENSMUST00000064591	0	1	1	0	0	0	8.062	37.802
ENSG00000230709	ENSMUSG00000085132	ENST00000428142	ENSMUST00000139025	0	0	0	0	0	0	4.3	34.9
ENSG00000234614	ENSMUSG00000104669	ENST00000434182	ENSMUST00000197971	0	0	0	0	0	0	3.22	14.888
ENSG00000280304	ENSMUSG00000099853	ENST00000623551	ENSMUST00000207028	0	0	0	0	0	0	3.184	34.244
ENSG00000227811	ENSMUSG00000074346	ENST00000524935	ENSMUST00000130683	1	0	0	0	0	0	4.282	19.053
ENSG00000266903	ENSMUSG00000090075	ENST00000590796	ENSMUST00000162649	0	0	0	0	0	0	4.585	48.38
ENSG00000275542	ENSMUSG00000075389	ENST00000622907	ENSMUST00000145437	1	1	0	1	1	0	4.851	10.334
ENSG00000260577	ENSMUSG00000097026	ENST00000562172	ENSMUST00000180410	1	1	0	1	0	1	4.976	17.487
ENSG00000279095	ENSMUSG00000109136	ENST00000623022	ENSMUST00000208280	0	1	1	1	1	0	8.404	12.319
ENSG00000251370	ENSMUSG00000096956	ENST00000510879	ENSMUST00000181536	1	0	0	0	0	0	3.575	32.661
ENSG00000262791	ENSMUSG00000085148	ENST00000576540	ENSMUST00000149940	0	1	0	0	0	0	4.294	21.735
ENSG00000259356	ENSMUSG00000109539	ENST00000560128	ENSMUST00000207632	0	0	0	0	0	0	4.215	47.019
ENSG00000267506	ENSMUSG00000086588	ENST00000590398	ENSMUST00000124901	0	0	0	0	0	0	3.613	5.715
ENSG00000275613	ENSMUSG00000087407	ENST00000610398	ENSMUST00000155046	0	0	0	0	0	0	4.574	22.149
ENSG00000278962	ENSMUSG00000085498	ENST00000624058	ENSMUST00000144178	0	0	0	0	0	0	4.332	10.607
ENSG00000267489	ENSMUSG00000100387	ENST00000590053	ENSMUST00000187488	0	0	0	0	0	0	3.428	42.226
ENSG00000179082	ENSMUSG00000085275	ENST00000316786	ENSMUST00000145413	0	1	0	0	0	0	4.798	23.087
ENSG00000168746	ENSMUSG00000087129	ENST00000372910	ENSMUST00000154065	0	0	0	0	0	0	3	36.355
ENSG00000279900	ENSMUSG00000074024	ENST00000624584	ENSMUST00000147198	1	1	1	0	0	0	5	12.748
ENSG00000257346	ENSMUSG00000097414	ENST00000553174	ENSMUST00000181510	0	1	0	1	0	0	5.018	55.48
ENSG00000254614	ENSMUSG00000097404	ENST00000526623	ENSMUST00000180505	0	1	1	1	1	0	9.244	30.695
ENSG00000261924	ENSMUSG00000085207	ENST00000573602	ENSMUST00000129379	1	1	1	1	1	0	7.049	16.903
