human gene	opossum gene	human transcript	opossum transcript	motif-pattern similarity score	gap penalty score
ENSG00000279422	XLOC_046202_ops	ENST00000624313	TCONS_00130399_ops	12.846	35.745
ENSG00000253187	XLOC_045053_ops	ENST00000519694	TCONS_00124407_ops	4.945	47.533
ENSG00000277283	XLOC_024057_ops	ENST00000611079	TCONS_00063467_ops	4.301	42.16
ENSG00000270049	XLOC_004377_ops	ENST00000635000	TCONS_00009843_ops	7.283	36.105
ENSG00000234741	XLOC_014340_ops	ENST00000455838	TCONS_00037948_ops	3.265	30.659
ENSG00000274828	XLOC_022680_ops	ENST00000616428	TCONS_00060340_ops	5.576	75.318
ENSG00000230091	XLOC_005342_ops	ENST00000432070	TCONS_00011925_ops	5.551	64.273
ENSG00000270605	XLOC_029914_ops	ENST00000604716	TCONS_00080689_ops	7.644	20.131
ENSG00000279028	XLOC_007051_ops	ENST00000625092	TCONS_00027753_ops	5.57	62.475
ENSG00000261578	XLOC_026537_ops	ENST00000566747	TCONS_00073558_ops	6.435	21.366
ENSG00000205740	XLOC_044585_ops	ENST00000381466	TCONS_00123440_ops	3.815	51.078
ENSG00000280076	XLOC_000871_ops	ENST00000624819	TCONS_00001951_ops	6.198	52.359
ENSG00000233030	XLOC_017218_ops	ENST00000428289	TCONS_00044366_ops	4.954	149.579
ENSG00000227128	XLOC_005670_ops	ENST00000430651	TCONS_00012705_ops	7.232	32.14
ENSG00000245522	XLOC_033831_ops	ENST00000500698	TCONS_00093254_ops	4.665	43.766
ENSG00000223855	XLOC_034628_ops	ENST00000452622	TCONS_00097393_ops	39.359	33.498
ENSG00000258584	XLOC_006385_ops	ENST00000555732	TCONS_00014359_ops	4.203	66.011
ENSG00000240990	XLOC_045057_ops	ENST00000520360	TCONS_00124417_ops	6.948	54.951
ENSG00000268896	XLOC_038940_ops	ENST00000596829	TCONS_00109211_ops	7.493	22.605
ENSG00000255267	XLOC_032210_ops	ENST00000528390	TCONS_00090108_ops	4.821	34.433
ENSG00000280038	XLOC_000785_ops	ENST00000623634	TCONS_00001772_ops	6.984	27.011
ENSG00000259818	XLOC_009938_ops	ENST00000569869	TCONS_00028389_ops	6.957	25.52
ENSG00000225969	XLOC_013719_ops	ENST00000427153	TCONS_00046898_ops	9.413	19.86
ENSG00000261716	XLOC_017177_ops	ENST00000564237	TCONS_00044318_ops	9.124	26.969
ENSG00000256364	XLOC_020618_ops	ENST00000541383	TCONS_00069018_ops	6.914	12.097
ENSG00000260167	XLOC_034744_ops	ENST00000563540	TCONS_00097609_ops	6.304	95.521
ENSG00000269982	XLOC_035746_ops	ENST00000602436	TCONS_00099934_ops	5.407	51.934
