human gene	cow gene	human transcript	cow transcript	motif-pattern similarity score	gap penalty score
ENSG00000268938	XLOC_019986_cow	ENST00000597837	TCONS_00066056_cow	4.203	99.227
ENSG00000221817	XLOC_063304_cow	ENST00000439792	TCONS_00223286_cow	5.321	67.155
ENSG00000234352	XLOC_010899_cow	ENST00000592183	TCONS_00035300_cow	6.871	70.199
ENSG00000125514	XLOC_034646_cow	ENST00000370341	TCONS_00116347_cow	5.074	89.307
ENSG00000225762	XLOC_007693_cow	ENST00000420876	TCONS_00024028_cow	4.678	26.241
ENSG00000237687	XLOC_034651_cow	ENST00000435412	TCONS_00116380_cow	3.532	17.635
ENSG00000116883	XLOC_009566_cow	ENST00000373137	TCONS_00029542_cow	6.11	53.647
ENSG00000265148	XLOC_047587_cow	ENST00000579527	TCONS_00165625_cow	4.876	19.779
ENSG00000229807	XLOC_066196_cow	ENST00000602587	TCONS_00233504_cow	3.981	8.206
ENSG00000179818	XLOC_031274_cow	ENST00000628102	TCONS_00103759_cow	6.35	12.636
ENSG00000261959	XLOC_048189_cow	ENST00000572855	TCONS_00167526_cow	4.473	77.109
ENSG00000251359	XLOC_062527_cow	ENST00000578387	TCONS_00220524_cow	16.184	25.088
ENSG00000276272	XLOC_013305_cow	ENST00000610448	TCONS_00043559_cow	5.975	57.868
ENSG00000231764	XLOC_011384_cow	ENST00000431497	TCONS_00036521_cow	5.773	24.406
ENSG00000283392	XLOC_055220_cow	ENST00000635800	TCONS_00193033_cow	4.736	103.651
ENSG00000268896	XLOC_005840_cow	ENST00000596829	TCONS_00016420_cow	6.922	34.191
ENSG00000225439	XLOC_030696_cow	ENST00000529783	TCONS_00102188_cow	6.392	39.645
ENSG00000237595	XLOC_036298_cow	ENST00000435301	TCONS_00122908_cow	3.79	43.456
ENSG00000229848	XLOC_049956_cow	ENST00000442532	TCONS_00173685_cow	7.537	13.883
ENSG00000268677	XLOC_047114_cow	ENST00000596472	TCONS_00161543_cow	4.826	33.727
ENSG00000214999	XLOC_047996_cow	ENST00000399413	TCONS_00166868_cow	11.452	37.413
ENSG00000257253	XLOC_014556_cow	ENST00000547902	TCONS_00047159_cow	5.807	20.441
ENSG00000225746	XLOC_052617_cow	ENST00000638012	TCONS_00183382_cow	7.573	47.174
ENSG00000237637	XLOC_032292_cow	ENST00000428419	TCONS_00109197_cow	9.266	29.12
ENSG00000265618	XLOC_047801_cow	ENST00000577850	TCONS_00166244_cow	3.801	45.008
ENSG00000269959	XLOC_047178_cow	ENST00000602324	TCONS_00161820_cow	5.823	49.193
ENSG00000260566	XLOC_059973_cow	ENST00000563129	TCONS_00210840_cow	6.226	24.049
ENSG00000223855	XLOC_060432_cow	ENST00000452622	TCONS_00212454_cow	20.952	53.107
ENSG00000260630	XLOC_045049_cow	ENST00000568633	TCONS_00163163_cow	6.16	40.457
ENSG00000233017	XLOC_035893_cow	ENST00000433121	TCONS_00119956_cow	7.884	12.284
ENSG00000230172	XLOC_054449_cow	ENST00000422657	TCONS_00190550_cow	6.78	81.614
ENSG00000254942	XLOC_007095_cow	ENST00000526411	TCONS_00022600_cow	4.447	53.287
ENSG00000225446	XLOC_008952_cow	ENST00000425185	TCONS_00027933_cow	4.911	65
ENSG00000226812	XLOC_036187_cow	ENST00000430481	TCONS_00120857_cow	4.654	52.911
ENSG00000283078	XLOC_035897_cow	ENST00000635124	TCONS_00119983_cow	6.29	24.094
ENSG00000264207	XLOC_008513_cow	ENST00000577853	TCONS_00026792_cow	4.503	19.761
ENSG00000214145	XLOC_002202_cow	ENST00000414120	TCONS_00005110_cow	6.978	18.543
ENSG00000205037	XLOC_046318_cow	ENST00000378417	TCONS_00158794_cow	11.331	57.435
ENSG00000281649	XLOC_022147_cow	ENST00000625445	TCONS_00074336_cow	10.104	36.529
